name,team,games_played,kicks,handballs,disposals,marks,goals,behinds,tackles,frees_for,frees_against,hitouts,inside_50s,goal_assists,supercoach_score,dreamteam_score,contested_possessions,uncontested_possessions,effective_disposals,disposal_efficiency,clangers,contested_marks,marks_inside_50,clearances,centre_clearances,stoppage_clearances,rebound_50s,one_percenters,bounces,metres_gained,score_involvements,turnovers,intercepts,tackles_inside_50,time_on_ground_pct
Brandan Parfitt,Geelong,9,58,56,114,6,1,1,50,6,7,NA,19,4,477,496,45,64,67,59,23,NA,1,19,6,13,4,3,NA,1638,34,24,5,11,50.11
George Wardlaw,North Melbourne,8,58,59,117,18,1,1,46,13,10,NA,10,2,523,520,59,67,89,76,26,1,3,33,13,20,9,7,NA,1184,26,18,14,7,59.5
Jacob Koschitzke,Hawthorn,12,56,47,103,39,9,10,27,14,2,27,9,3,698,586,60,45,80,78,11,17,22,4,NA,4,2,13,NA,1019,43,17,9,8,78.75
Fergus Greene,Hawthorn,11,56,33,89,38,15,10,10,6,7,NA,15,9,538,473,32,59,63,71,19,2,23,2,NA,2,NA,18,NA,1423,51,17,7,6,77
Massimo D'Ambrosio,Essendon,8,56,31,87,24,1,1,10,NA,5,NA,8,2,322,334,22,64,63,72,12,2,NA,3,1,2,15,1,2,1452,14,14,21,1,47.62
Matt Crouch,Adelaide,7,55,132,187,18,2,NA,35,11,7,NA,22,1,683,625,77,106,160,86,20,NA,1,46,21,25,4,7,1,1332,46,15,18,3,68
Sam Banks,Richmond,6,55,27,82,17,1,2,8,3,1,NA,9,1,324,310,19,56,57,70,13,1,1,3,NA,3,20,11,NA,1731,15,20,17,NA,76.67
Joel Jeffrey,Gold Coast,7,54,13,67,16,5,4,23,4,2,NA,10,2,412,360,22,37,47,70,10,2,2,2,NA,2,15,11,1,1641,19,16,12,13,64.71
Tim Membrey,St Kilda,7,53,24,77,36,6,8,6,2,2,2,16,3,388,381,28,51,54,70,8,3,13,NA,NA,NA,1,10,NA,1251,33,12,7,6,80.71
Nathan Fyfe,Fremantle,9,52,73,125,23,3,2,22,4,13,NA,24,3,456,444,68,62,92,74,32,4,6,24,11,13,2,10,3,1265,31,19,11,8,62.78
Ryan Clarke,Sydney,16,51,72,123,24,5,3,32,5,10,NA,10,4,547,505,45,81,93,76,27,NA,4,4,NA,4,2,6,NA,1070,33,29,13,9,55
Francis Evans,Port Adelaide,10,51,24,75,20,10,4,16,4,1,NA,14,6,429,390,36,41,49,65,12,2,4,5,NA,5,NA,6,1,1269,31,15,9,8,50
James Blanck,Hawthorn,15,50,39,89,29,NA,NA,23,9,17,NA,2,NA,543,365,45,49,75,84,28,8,NA,2,NA,2,16,84,NA,598,12,11,54,NA,82.47
James Harmes,Melbourne,9,50,61,111,13,1,5,31,5,10,NA,21,1,416,421,47,72,75,68,25,NA,2,16,10,6,2,7,2,1386,26,25,17,6,52.67
Scott Lycett,Port Adelaide,14,49,100,149,14,NA,1,52,26,26,346,22,5,1045,892,98,56,107,72,45,1,2,56,27,29,7,33,NA,1450,49,20,19,3,69.07
Ben Miller,Richmond,13,49,46,95,31,6,3,28,7,5,115,15,6,765,590,51,52,73,77,22,6,10,10,3,7,6,53,1,1234,40,16,23,4,73.62
Noah Cumberland,Richmond,9,49,23,72,23,8,8,23,12,11,NA,17,3,306,389,35,37,35,49,38,5,10,2,NA,2,NA,5,1,1377,32,33,6,9,62.11
Mabior Chol,Gold Coast,8,49,12,61,28,10,7,14,4,5,25,13,2,391,392,31,33,40,66,20,5,12,7,1,6,3,12,NA,1290,35,14,7,6,75.62
Lachlan Cowan,Carlton,7,49,19,68,20,NA,NA,13,5,6,NA,9,NA,296,284,21,48,53,78,14,2,NA,NA,NA,NA,10,7,NA,1429,9,19,27,NA,69.71
Angus Sheldrick,Sydney,7,49,58,107,19,3,3,24,6,2,NA,20,1,420,437,44,64,71,66,15,2,1,19,5,14,7,3,1,1468,30,19,8,4,53
Jy Farrar,Gold Coast,9,48,29,77,21,1,1,17,10,6,NA,13,NA,331,332,40,39,53,69,19,3,2,1,NA,1,17,19,4,1510,8,17,32,2,52.22
Arthur Jones,Western Bulldogs,13,47,52,99,17,4,8,35,9,13,NA,20,4,444,438,42,65,69,70,24,1,4,3,1,2,1,10,6,1400,33,24,10,11,69.92
Ollie Lord,Port Adelaide,13,47,48,95,31,15,10,20,10,18,17,10,4,654,483,57,42,59,62,30,13,18,2,NA,2,NA,46,NA,943,43,29,11,11,82.62
Jarryd Lyons,Brisbane,10,47,46,93,12,2,1,24,7,NA,NA,15,3,391,385,43,53,68,73,6,1,3,19,10,9,5,2,NA,1364,27,12,10,4,34
Matthew Flynn,GWS,9,47,59,106,15,1,2,30,13,12,255,19,1,792,664,67,37,76,72,21,2,4,33,16,17,10,35,NA,1218,35,21,16,3,77.44
Lewis Melican,Sydney,8,47,33,80,19,NA,NA,19,6,5,NA,4,NA,459,331,36,45,61,76,13,2,NA,1,NA,1,20,50,NA,1172,12,9,40,NA,84.62
Ivan Soldo,Richmond,8,47,31,78,31,7,5,30,14,10,182,13,3,695,629,46,34,56,72,20,7,11,21,7,14,9,14,NA,943,43,13,9,4,69.25
Lloyd Meek,Hawthorn,16,46,108,154,36,3,2,58,14,22,288,12,4,1023,950,96,70,104,68,36,12,3,34,7,27,17,41,NA,1152,43,25,21,14,69.88
Mark Keane,Adelaide,5,46,21,67,29,NA,NA,3,4,9,NA,5,NA,324,256,27,37,56,84,19,8,NA,NA,NA,NA,16,27,2,1411,12,15,40,NA,93.2
Ryan Maric,West Coast,10,45,55,100,28,9,2,26,10,2,NA,19,3,548,493,39,66,78,78,10,4,7,2,NA,2,2,10,NA,1125,34,17,8,9,79.9
Ben Brown,Melbourne,7,44,22,66,26,11,4,6,6,2,7,7,5,428,355,29,36,49,74,7,2,10,NA,NA,NA,2,14,NA,1179,33,12,6,5,74.43
Nathan Wilson,Fremantle,4,44,17,61,22,NA,NA,2,2,1,NA,13,NA,230,239,11,47,48,79,4,2,NA,1,NA,1,10,6,3,1367,8,15,10,NA,80.75
Lachlan Keeffe,GWS,14,43,46,89,28,1,3,20,4,9,94,13,6,531,465,50,47,63,71,23,7,2,7,3,4,4,43,NA,1291,27,20,17,5,67.64
Josh Bruce,Western Bulldogs,8,43,40,83,36,NA,NA,11,7,12,NA,2,NA,372,332,31,56,64,77,25,3,NA,NA,NA,NA,16,39,1,871,9,14,40,NA,88.62
Nick Bryan,Essendon,8,43,29,72,20,1,2,11,5,2,141,13,3,531,439,38,31,50,69,11,9,4,10,3,7,7,25,NA,1022,25,12,12,2,52.75
Tom McDonald,Melbourne,8,43,29,72,24,9,4,15,4,5,10,11,4,423,376,35,41,52,72,11,7,9,4,NA,4,1,14,NA,1093,31,15,6,6,74
Rhett Bazzo,West Coast,11,41,54,95,34,NA,NA,8,4,12,NA,5,NA,352,333,33,65,77,81,21,4,NA,1,NA,1,13,27,1,693,14,16,36,NA,68
Alwyn Davey,Essendon,10,41,34,75,20,4,2,20,4,1,NA,17,4,373,358,37,40,48,64,13,2,2,4,2,2,3,7,5,1183,31,21,17,5,59.7
Callum Coleman-Jones,North Melbourne,9,41,41,82,27,4,3,23,5,7,64,11,4,403,453,43,42,52,63,30,11,8,12,4,8,3,15,NA,1217,30,23,4,3,75
Hewago Oea,Gold Coast,8,41,30,71,11,3,1,20,2,3,NA,19,1,339,308,32,35,50,70,14,NA,1,11,2,9,1,9,NA,1138,18,19,11,5,66.12
Maurice Rioli,Richmond,10,40,22,62,14,2,5,21,5,5,NA,8,5,314,297,24,44,38,61,14,NA,3,3,NA,3,2,8,4,1076,22,15,9,10,60
Connor West,West Coast,9,40,52,92,16,3,5,17,11,5,NA,10,1,375,359,47,43,62,67,18,1,1,11,NA,11,4,4,1,1112,32,22,7,10,69.67
Josh Fahey,GWS,7,38,14,52,15,4,2,6,2,1,NA,12,2,190,236,10,42,29,56,13,NA,2,1,1,NA,6,2,NA,1421,13,17,7,1,42.43
Shane McAdam,Adelaide,7,38,30,68,30,12,4,23,4,6,NA,9,4,470,418,25,46,50,74,11,4,15,1,1,NA,1,12,1,1041,37,14,4,10,74.43
Darcy Fort,Brisbane,7,37,22,59,12,1,3,11,4,7,90,13,4,379,317,43,18,37,63,16,6,6,13,5,8,4,10,NA,900,20,10,9,6,59.14
Will Brodie,Fremantle,5,37,66,103,5,1,1,19,3,3,NA,18,1,356,335,49,56,72,70,19,1,NA,27,13,14,3,3,2,1246,19,18,10,3,64
Darragh Joyce,Brisbane,5,37,6,43,25,NA,NA,2,4,10,NA,1,NA,226,180,16,28,36,84,14,4,NA,NA,NA,NA,13,20,NA,849,5,12,24,NA,84.4
Patrick Parnell,Adelaide,5,37,16,53,17,NA,NA,6,3,1,NA,7,NA,196,218,12,40,43,81,7,1,NA,2,NA,2,6,3,NA,738,5,9,10,NA,49.6
Jaxon Prior,Brisbane,5,36,7,43,14,1,1,11,3,1,NA,4,NA,194,215,12,28,27,63,9,NA,NA,3,1,2,6,10,NA,1024,7,12,13,NA,63.8
Hayden Crozier,Western Bulldogs,4,36,18,54,19,NA,1,6,4,1,NA,2,NA,230,227,13,39,42,78,8,NA,NA,1,NA,1,13,10,1,865,7,10,16,NA,65.5
Luke Nankervis,Adelaide,4,36,18,54,18,NA,NA,13,NA,1,NA,7,2,218,247,14,38,37,69,7,1,NA,3,1,2,7,3,1,778,12,11,16,1,77
Charlie Constable,Gold Coast,2,36,9,45,12,NA,NA,2,1,1,NA,5,NA,123,168,7,28,26,58,8,NA,NA,2,NA,2,16,6,1,1124,6,15,6,NA,83.5
Aaron Cadman,GWS,12,35,19,54,19,6,4,19,2,8,NA,9,1,274,294,32,25,34,63,22,6,9,NA,NA,NA,NA,8,NA,852,25,24,5,9,60.92
Jack Williams,West Coast,10,35,34,69,24,5,4,16,3,2,31,10,2,378,371,26,43,51,74,11,4,6,9,4,5,2,19,NA,710,26,7,3,4,66.4
Elijah Tsatas,Essendon,4,35,30,65,15,1,2,11,1,2,NA,6,NA,220,257,17,46,46,71,7,1,1,7,2,5,3,1,NA,654,16,8,5,2,66.5
Sam Butler,Hawthorn,8,34,49,83,22,6,2,18,6,3,NA,10,5,353,373,35,52,56,67,13,1,NA,2,NA,2,2,3,1,758,30,17,9,9,68.25
Jonathon Ceglar,Geelong,6,34,42,76,21,NA,NA,8,6,8,153,10,NA,477,416,49,29,52,68,18,7,1,27,10,17,4,19,NA,661,21,14,20,NA,67
Harry Sharp,Brisbane,3,34,6,40,13,2,NA,5,2,3,NA,10,NA,155,178,12,29,26,65,11,NA,NA,3,NA,3,2,3,NA,1129,10,12,8,1,67.67
Jackson Mead,Port Adelaide,7,32,20,52,12,2,1,18,3,3,NA,16,1,278,251,20,33,30,58,11,2,2,6,NA,6,1,10,NA,858,16,13,9,5,56.43
Nikolas Cox,Essendon,6,32,39,71,18,NA,3,13,3,7,NA,8,2,280,265,30,44,55,77,16,1,2,3,NA,3,6,16,NA,912,9,9,26,NA,83
Flynn Perez,North Melbourne,5,32,21,53,17,1,NA,9,2,2,NA,6,NA,187,227,10,40,35,66,14,NA,NA,NA,NA,NA,10,11,NA,846,4,14,12,NA,74.2
Tristan Xerri,North Melbourne,9,30,73,103,9,3,NA,26,13,11,229,10,1,656,594,73,30,71,69,24,2,2,28,9,19,6,30,NA,659,26,14,15,2,70.11
Lochie O'Brien,Carlton,6,30,13,43,17,NA,1,5,1,2,NA,5,1,160,183,11,30,30,70,12,1,NA,2,NA,2,8,1,4,883,8,14,7,2,47.33
Patrick McCartin,Sydney,4,30,9,39,15,NA,NA,3,1,2,NA,3,NA,201,160,12,27,35,90,5,1,NA,NA,NA,NA,10,17,NA,491,11,2,20,NA,59
Liam Ryan,West Coast,3,30,9,39,15,4,1,11,4,3,NA,10,2,226,217,12,25,30,77,9,2,3,1,NA,1,NA,1,3,885,21,7,5,3,81
Alex Sexton,Gold Coast,8,29,14,43,14,5,4,5,2,5,NA,9,3,191,198,11,33,28,65,9,NA,4,NA,NA,NA,4,2,2,838,20,11,4,4,50.88
Mitchell Hannan,Western Bulldogs,6,29,14,43,14,3,4,13,4,5,NA,14,1,239,220,19,25,29,67,10,NA,5,NA,NA,NA,1,5,NA,908,18,13,5,6,62.33
Harrison Jones,Essendon,5,29,16,45,21,2,4,4,3,1,NA,10,2,243,214,21,23,32,71,7,5,6,2,NA,2,NA,7,NA,744,20,11,NA,1,66.6
Connor Budarick,Gold Coast,2,29,6,35,10,NA,NA,5,4,2,NA,4,NA,154,147,6,21,30,86,4,NA,NA,1,NA,1,8,4,1,718,7,8,5,1,80
Lachlan McNeil,Western Bulldogs,13,28,52,80,12,2,4,30,3,2,NA,13,2,370,357,38,44,58,72,6,1,2,6,NA,6,NA,14,NA,852,33,10,13,9,41.62
Charlie Comben,North Melbourne,7,28,27,55,17,4,8,21,7,15,21,2,3,316,288,31,28,35,64,22,4,9,4,2,2,1,16,1,752,36,18,4,4,73
Harry Rowston,GWS,7,28,21,49,11,1,2,10,2,1,NA,10,NA,231,206,20,29,36,73,8,1,NA,5,4,1,4,4,NA,874,18,9,8,3,45
Matthew Roberts,Sydney,6,28,13,41,12,1,1,9,2,2,NA,6,NA,187,185,18,24,30,73,4,NA,NA,4,1,3,4,3,NA,700,10,10,8,2,36
Lachlan Gollant,Adelaide,4,28,10,38,16,4,6,7,8,3,2,13,1,247,211,16,22,27,71,5,2,5,2,2,NA,1,10,NA,982,23,9,4,3,78.5
Anthony McDonald-Tipungwuti,Essendon,7,27,23,50,15,4,5,15,1,7,NA,5,4,241,241,17,35,33,66,10,2,7,1,NA,1,NA,5,2,613,25,10,3,8,63.43
Josh Honey,Carlton,6,27,17,44,14,3,3,13,1,4,NA,10,2,197,219,14,32,30,68,7,NA,4,3,NA,3,1,2,NA,734,22,7,4,7,66.83
Jase Burgoyne,Port Adelaide,5,27,17,44,13,NA,NA,6,1,NA,NA,8,1,201,179,13,32,37,84,3,NA,NA,1,NA,1,4,8,NA,767,9,8,13,NA,64
Sam Berry,Adelaide,4,27,13,40,6,NA,1,19,4,3,NA,7,1,203,197,21,23,25,62,7,NA,NA,8,4,4,5,2,NA,769,11,15,7,2,64.75
Thomson Dow,Richmond,4,27,43,70,10,NA,2,8,4,5,NA,11,1,228,220,30,39,51,73,14,1,2,15,8,7,3,2,NA,674,17,11,10,NA,69.25
Cooper Hamilton,GWS,4,27,30,57,12,1,1,3,4,4,NA,6,2,160,188,17,39,38,67,13,1,1,1,NA,1,4,6,NA,771,9,15,9,1,63.25
Sam Simpson,Geelong,6,26,29,55,12,7,3,7,2,3,NA,10,1,292,238,23,34,38,69,6,NA,6,2,NA,2,NA,3,1,789,18,8,9,4,65.83
Kaine Baldwin,Essendon,4,26,9,35,19,NA,NA,4,2,1,NA,4,1,194,168,10,25,30,86,4,1,NA,2,NA,2,12,11,NA,684,6,6,14,NA,65.25
Zak Jones,St Kilda,4,26,34,60,9,NA,2,11,2,1,NA,12,1,223,218,20,40,45,75,5,NA,NA,13,5,8,1,4,NA,668,11,8,6,3,54.25
Tom Lynch,Richmond,4,26,8,34,18,9,6,5,2,8,1,4,1,257,207,24,13,21,62,14,10,11,3,NA,3,NA,12,NA,672,20,14,2,2,88.25
Lachie Young,North Melbourne,4,26,26,52,16,NA,1,12,2,2,NA,7,NA,234,223,17,34,41,79,12,2,NA,NA,NA,NA,9,18,NA,913,6,11,15,NA,83.25
Denver Grainger-Barras,Hawthorn,7,25,14,39,19,4,1,3,5,7,NA,9,NA,191,181,15,23,31,79,12,3,4,NA,NA,NA,3,11,NA,781,13,8,8,3,63.57
Thomas Berry,Gold Coast,6,24,16,40,10,NA,2,19,4,6,NA,11,4,195,198,19,23,23,58,11,NA,3,2,1,1,1,5,NA,722,16,10,4,8,57
Jack Bytel,St Kilda,6,24,23,47,15,1,1,11,2,4,NA,4,NA,150,204,19,30,31,66,11,NA,2,6,2,4,4,2,1,606,14,11,5,1,35.83
Kai Lohmann,Brisbane,6,24,18,42,11,1,4,11,2,1,NA,8,2,180,194,15,27,25,60,7,1,3,2,NA,2,2,NA,NA,738,15,6,7,3,39.67
Jackson Archer,North Melbourne,5,24,18,42,12,NA,NA,8,6,6,NA,1,NA,160,164,12,32,33,79,12,1,NA,1,NA,1,8,7,NA,557,NA,9,11,NA,66.2
Josh Corbett,Fremantle,5,23,10,33,20,3,3,2,1,1,NA,5,2,163,176,11,20,23,70,4,5,4,NA,NA,NA,NA,5,NA,309,11,4,3,1,64.4
Karl Worner,Fremantle,4,23,21,44,12,NA,1,1,1,1,NA,3,1,120,150,7,36,30,68,6,NA,1,2,NA,2,9,6,NA,757,8,8,8,NA,67
Heath Chapman,Fremantle,3,23,22,45,15,NA,NA,6,2,1,NA,2,NA,193,181,14,32,41,91,4,1,NA,NA,NA,NA,8,5,NA,591,6,3,14,NA,70.67
Oisin Mullin,Geelong,6,22,27,49,12,NA,1,9,1,3,NA,4,NA,183,185,17,30,36,73,9,1,NA,1,NA,1,3,7,NA,537,8,11,21,NA,61.67
Adam Kennedy,GWS,5,22,14,36,8,NA,NA,5,4,4,NA,6,4,163,130,13,25,29,81,4,NA,1,1,NA,1,1,6,2,565,16,4,9,1,59.4
Darcy Gardiner,Brisbane,4,22,12,34,12,NA,NA,10,6,3,NA,4,1,228,163,19,16,30,88,4,1,NA,2,NA,2,3,26,NA,318,4,3,18,NA,90.25
Jack Billings,St Kilda,3,22,23,45,13,1,3,6,1,1,NA,8,2,187,182,13,32,34,76,5,NA,2,2,NA,2,2,3,NA,518,11,7,7,2,77.67
James Borlase,Adelaide,4,20,12,32,15,NA,NA,7,5,2,NA,2,NA,233,156,14,21,31,97,5,2,NA,1,NA,1,4,29,NA,412,6,4,17,NA,80.25
Matthew Taberner,Fremantle,4,20,16,36,19,3,NA,3,1,5,NA,8,NA,154,165,11,25,29,81,10,5,3,NA,NA,NA,NA,3,NA,502,12,9,2,3,69.25
Bodhi Uwland,Gold Coast,3,19,6,25,5,NA,NA,3,2,2,NA,2,NA,92,92,7,12,18,72,6,NA,NA,2,NA,2,9,7,NA,627,1,7,11,NA,54.33
Phoenix Spicer,North Melbourne,6,18,21,39,6,1,2,23,4,1,NA,5,1,218,215,17,23,27,69,7,NA,NA,2,2,NA,1,7,3,428,11,9,6,9,59.33
Noah Answerth,Brisbane,4,18,14,32,10,NA,NA,11,3,2,NA,7,NA,140,153,12,20,22,69,3,NA,NA,NA,NA,NA,2,3,NA,420,7,5,10,2,32.25
Matt Coulthard,Richmond,4,18,11,29,7,1,2,6,4,NA,NA,7,1,142,133,13,18,18,62,3,NA,1,4,1,3,1,2,2,537,9,4,2,3,49.5
Joel Hamling,Fremantle,4,18,27,45,17,NA,NA,4,3,1,NA,NA,NA,237,175,15,30,38,84,2,1,NA,2,NA,2,4,30,NA,271,1,5,15,NA,89.5
Taj Woewodin,Melbourne,4,18,19,37,8,2,1,7,3,2,NA,8,2,157,154,14,23,25,68,6,1,1,3,1,2,2,NA,NA,604,12,10,7,3,66.25
Elliott Himmelberg,Adelaide,3,18,8,26,11,1,NA,4,2,1,14,6,2,157,138,13,13,19,73,3,4,NA,2,NA,2,1,6,NA,392,5,7,5,1,73
Quinton Narkle,Port Adelaide,3,18,14,32,7,4,1,4,1,3,NA,6,NA,134,136,8,25,22,69,8,NA,3,NA,NA,NA,2,4,2,550,13,7,3,NA,66
Mitch Georgiades,Port Adelaide,2,18,9,27,12,2,5,2,2,4,NA,4,1,118,123,9,19,15,56,7,1,6,NA,NA,NA,NA,NA,NA,416,13,9,NA,1,80.5
Will Gould,Sydney,4,17,9,26,9,NA,NA,5,2,2,NA,2,NA,143,112,7,17,19,73,3,NA,NA,1,NA,1,10,18,NA,336,1,5,11,NA,59.75
Cooper Harvey,North Melbourne,3,17,11,28,11,1,NA,6,1,1,NA,4,1,105,134,11,15,19,68,7,7,1,NA,NA,NA,NA,3,NA,410,4,10,2,3,76.67
Daniel Turner,Melbourne,2,17,3,20,7,NA,NA,6,1,3,NA,NA,NA,98,94,5,13,13,65,7,2,NA,NA,NA,NA,5,6,NA,461,NA,6,10,NA,81
Sam Menegola,Geelong,1,17,10,27,6,NA,1,3,NA,1,NA,3,NA,60,99,6,22,14,52,10,NA,NA,3,NA,3,3,2,NA,486,6,10,3,NA,81
Ollie Dempsey,Geelong,5,16,22,38,8,1,3,10,2,1,NA,5,1,166,164,14,23,27,71,2,1,2,3,NA,3,2,2,NA,342,11,6,2,3,42
Brynn Teakle,Port Adelaide,4,16,25,41,5,1,2,14,5,10,83,6,1,254,235,23,17,23,56,18,1,NA,7,2,5,5,7,NA,490,14,10,7,NA,82
Tyler Sonsie,Richmond,3,16,18,34,4,NA,NA,4,1,2,NA,4,NA,90,107,12,23,24,71,9,NA,NA,1,NA,1,2,3,NA,368,7,7,7,3,65.33
Tom Emmett,Fremantle,2,16,14,30,7,4,NA,6,4,2,NA,5,2,163,143,11,18,22,73,6,1,1,2,NA,2,NA,1,2,508,14,6,1,1,80.5
Lloyd Johnston,Gold Coast,2,16,8,24,4,NA,NA,3,NA,NA,NA,3,NA,84,88,9,12,17,71,4,1,NA,NA,NA,NA,2,5,NA,488,5,7,10,NA,60
Charlie Lazzaro,North Melbourne,6,15,38,53,6,NA,NA,18,1,4,NA,7,3,216,200,22,32,45,85,6,NA,NA,6,4,2,1,1,NA,378,18,4,12,4,50.5
Zane Trew,West Coast,4,15,21,36,3,1,NA,8,NA,4,NA,6,NA,124,122,22,17,24,67,9,NA,NA,8,3,5,2,3,1,481,5,10,8,NA,46.75
Brandon Ryan,Hawthorn,3,15,3,18,10,4,1,3,1,1,NA,4,NA,102,116,5,13,10,56,8,2,4,NA,NA,NA,NA,NA,NA,298,7,8,2,3,62
Jai Serong,Hawthorn,2,15,6,21,8,NA,NA,3,1,NA,NA,1,NA,89,94,5,17,17,81,2,NA,NA,NA,NA,NA,2,8,NA,237,1,2,5,NA,50
Jai Culley,West Coast,5,14,28,42,8,5,2,15,3,4,NA,5,1,216,205,20,22,27,64,12,3,3,3,NA,3,NA,3,NA,366,18,6,8,2,64.4
Bailey Laurie,Melbourne,5,14,22,36,3,NA,1,6,1,1,NA,6,3,138,118,17,17,23,64,7,NA,NA,5,1,4,NA,2,NA,378,10,7,2,2,39.4
Jacob Bauer,Richmond,4,14,4,18,8,4,NA,2,1,4,NA,3,NA,80,95,4,15,11,61,8,2,3,NA,NA,NA,NA,3,NA,419,6,7,1,2,60
Blake Drury,North Melbourne,4,14,15,29,5,NA,2,5,2,2,NA,2,1,89,105,9,19,18,62,6,NA,1,1,NA,1,1,1,NA,395,7,8,2,NA,59.25
Callum Jamieson,West Coast,4,14,25,39,7,NA,1,8,4,4,23,1,NA,178,161,26,14,30,77,10,NA,1,11,3,8,2,7,NA,178,7,6,3,3,72.75
Ned Long,Hawthorn,4,14,20,34,6,1,1,16,1,2,1,5,2,170,167,12,23,25,74,5,NA,1,2,NA,2,2,2,1,362,7,5,4,4,59.75
Harvey Harrison,Collingwood,4,13,18,31,9,3,1,9,1,NA,NA,5,2,161,158,9,22,25,81,4,1,1,NA,NA,NA,2,3,NA,450,13,3,3,2,63.75
Sam Hayes,Port Adelaide,4,13,22,35,6,NA,NA,9,3,4,74,5,1,229,202,21,15,25,71,8,1,NA,7,7,NA,2,10,NA,353,11,7,11,NA,64.75
Jacob Wehr,GWS,4,13,13,26,7,NA,NA,9,2,3,NA,4,NA,105,115,6,22,22,85,6,1,NA,3,1,2,4,1,NA,437,6,6,1,2,57.25
Sam Day,Gold Coast,3,13,6,19,10,1,1,5,1,2,2,3,NA,103,105,11,8,10,53,5,5,4,NA,NA,NA,NA,4,NA,293,7,5,1,3,71
Orazio Fantasia,Port Adelaide,3,13,10,23,5,2,5,5,2,NA,NA,5,1,118,113,5,17,13,57,3,NA,2,NA,NA,NA,NA,NA,NA,392,9,5,1,3,52
Bailey Macdonald,Hawthorn,2,13,12,25,11,NA,NA,2,1,NA,NA,1,NA,89,105,4,21,21,84,2,1,NA,1,NA,1,7,NA,4,413,3,5,5,NA,70.5
James Trezise,Richmond,1,13,4,17,3,NA,NA,5,1,NA,NA,3,NA,93,77,4,9,12,71,1,NA,NA,NA,NA,NA,5,9,1,405,4,4,6,NA,82
Riley Garcia,Western Bulldogs,3,12,19,31,2,1,NA,9,1,4,NA,3,NA,84,111,13,16,20,65,12,NA,1,3,1,2,NA,2,NA,285,7,8,3,2,62.67
Harry Edwards,West Coast,2,12,4,16,7,NA,NA,2,NA,2,NA,NA,NA,88,67,9,8,10,62,8,2,NA,NA,NA,NA,4,18,NA,235,1,7,11,NA,90.5
Jack Mahony,North Melbourne,2,12,13,25,8,NA,NA,3,NA,1,NA,4,NA,90,95,4,20,18,72,3,NA,1,1,NA,1,4,3,NA,222,1,4,4,2,64.5
Tom Brown,Richmond,1,12,4,16,6,NA,NA,NA,NA,NA,NA,2,NA,69,62,6,10,14,88,2,NA,NA,NA,NA,NA,4,1,NA,306,2,4,6,NA,81
Reef McInnes,Collingwood,5,11,7,18,8,3,1,3,1,NA,NA,2,1,107,103,11,8,11,61,8,2,3,NA,NA,NA,NA,3,NA,223,6,7,2,3,40.2
Toby McLean,Western Bulldogs,6,10,39,49,8,NA,NA,14,1,5,NA,5,1,177,174,18,35,38,78,9,NA,1,9,NA,9,2,3,NA,340,10,8,2,3,44.5
James Tsitas,Gold Coast,4,10,9,19,8,3,NA,4,NA,1,NA,3,1,89,103,5,14,15,79,2,NA,2,NA,NA,NA,1,NA,NA,245,7,4,2,2,27
Toby McMullin,GWS,3,10,4,14,3,1,2,6,1,1,NA,2,1,53,77,5,10,9,64,6,NA,NA,1,NA,1,NA,2,1,128,7,2,2,3,50.33
Josh Sinn,Port Adelaide,3,10,6,16,5,NA,1,1,NA,1,NA,2,1,65,59,8,9,12,75,6,1,NA,1,NA,1,2,2,NA,275,4,4,8,1,43.67
Dante Visentini,Port Adelaide,3,10,12,22,2,NA,NA,7,4,8,51,2,NA,96,119,15,5,15,68,12,NA,NA,11,9,2,NA,8,NA,143,6,1,1,NA,68.67
Henry Hustwaite,Hawthorn,2,10,18,28,5,2,NA,8,3,1,NA,NA,NA,132,125,11,17,25,89,3,1,1,3,2,1,1,2,NA,208,8,1,2,2,73
Brayden Cook,Adelaide,1,10,6,16,5,NA,1,2,NA,1,NA,2,1,70,63,4,14,14,88,1,NA,1,2,NA,2,4,1,NA,320,6,2,1,NA,84
Shannon Neale,Geelong,3,9,12,21,12,1,2,9,NA,2,19,3,2,135,144,15,8,13,62,6,7,5,1,1,NA,NA,6,NA,172,13,1,1,3,85.33
Will Kelly,Collingwood,2,9,4,13,6,NA,NA,2,NA,1,NA,4,NA,56,58,6,8,8,62,4,NA,NA,NA,NA,NA,NA,1,NA,304,3,3,4,NA,43
Lachlan Plowman,Carlton,1,9,3,12,5,NA,NA,2,2,1,NA,1,NA,47,55,4,8,9,75,2,NA,NA,NA,NA,NA,2,1,NA,112,NA,3,8,NA,74
Trey Ruscoe,Collingwood,1,9,2,11,7,NA,NA,2,1,1,NA,2,1,90,58,5,6,11,100,1,2,NA,NA,NA,NA,4,5,NA,168,4,1,7,NA,86
Cameron Fleeton,GWS,2,8,9,17,3,NA,NA,5,1,NA,NA,1,NA,91,72,8,9,11,65,3,1,NA,NA,NA,NA,2,8,NA,261,5,2,10,1,81
Sam Darcy,Western Bulldogs,3,7,3,10,2,NA,2,8,NA,6,11,NA,NA,58,60,8,3,5,50,6,2,NA,1,NA,1,3,5,NA,81,4,NA,1,4,46
Robbie McComb,Western Bulldogs,3,7,6,13,4,1,NA,2,1,2,NA,2,NA,54,54,6,9,7,54,3,1,NA,1,NA,1,NA,2,NA,140,4,7,1,1,34.67
