name,team,games_played,kicks,handballs,disposals,marks,goals,behinds,tackles,frees_for,frees_against,hitouts,inside_50s,goal_assists,supercoach_score,dreamteam_score,contested_possessions,uncontested_possessions,effective_disposals,disposal_efficiency,clangers,contested_marks,marks_inside_50,clearances,centre_clearances,stoppage_clearances,rebound_50s,one_percenters,bounces,metres_gained,score_involvements,turnovers,intercepts,tackles_inside_50,time_on_ground_pct
Zac Bailey,Brisbane,24,254,148,402,76,29,19,72,14,25,NA,97,20,1838,1706,158,246,284,71,84,2,16,60,18,42,21,24,NA,7874,138,88,47,19,80.08
Dylan Moore,Hawthorn,23,254,226,480,107,17,19,91,32,9,NA,78,15,2093,2025,163,328,340,71,52,4,13,31,6,25,19,27,5,6453,138,65,48,30,87.61
Tom Papley,Sydney,23,254,90,344,74,37,24,42,23,23,NA,91,21,1671,1532,159,193,217,63,86,8,33,65,33,32,5,27,7,6419,146,88,27,18,83.7
Darcy Moore,Collingwood,24,253,121,374,138,NA,1,22,22,24,NA,30,1,2096,1454,150,151,323,86,64,47,NA,2,NA,2,121,193,15,6824,62,65,201,NA,91.58
Dyson Heppell,Essendon,22,253,190,443,156,1,NA,50,15,11,NA,33,3,1770,1795,121,310,367,83,44,13,4,7,NA,7,64,44,6,5617,73,66,116,1,82.36
Adam Treloar,Western Bulldogs,19,253,304,557,54,13,5,100,21,11,NA,75,8,2046,2000,224,327,392,70,72,NA,2,109,35,74,32,17,9,6266,124,94,64,15,78.42
Zach Guthrie,Geelong,23,251,120,371,128,3,2,59,10,10,NA,32,3,1693,1613,112,231,285,77,44,15,1,11,NA,11,65,62,7,6489,72,76,119,2,84.74
Tom Mitchell,Collingwood,26,250,400,650,79,7,1,157,41,28,NA,94,13,2522,2415,289,370,474,73,81,1,5,125,47,78,23,18,3,7094,122,112,54,9,73.69
Isaac Quaynor,Collingwood,26,250,171,421,143,NA,2,68,17,6,NA,33,3,1979,1794,145,263,341,81,46,19,2,12,NA,12,97,66,5,7320,67,67,179,NA,82.96
Luke McDonald,North Melbourne,22,249,134,383,119,1,NA,80,16,20,NA,32,2,1714,1654,102,265,301,79,55,8,NA,12,NA,12,97,77,1,6968,45,80,115,NA,86.55
Zach Tuohy,Geelong,20,248,115,363,71,6,9,32,9,12,NA,47,6,1449,1333,112,194,258,71,52,7,7,24,7,17,84,12,13,7384,76,69,85,3,85.15
Wayne Milera,Adelaide,22,247,186,433,96,3,NA,43,13,11,NA,42,5,1705,1571,121,280,347,80,51,11,NA,15,1,14,83,37,3,6923,96,61,126,5,81.41
Dylan Williams,Port Adelaide,21,247,65,312,101,NA,1,16,8,8,NA,44,2,1378,1223,84,183,246,79,41,15,1,9,1,8,100,38,5,7835,50,78,100,1,69.76
Jai Newcombe,Hawthorn,22,244,309,553,100,12,8,94,37,30,NA,97,14,2162,2053,249,320,425,77,88,8,6,121,59,62,31,23,8,7984,141,84,65,10,80.73
Callan Ward,GWS,25,243,249,492,71,11,12,70,27,19,NA,83,15,1861,1768,195,301,359,73,71,5,11,85,30,55,31,24,4,6889,128,81,53,6,73.88
Rory Atkins,Gold Coast,17,241,104,345,87,3,3,19,8,9,NA,44,8,1229,1270,60,225,276,80,31,NA,2,16,1,15,83,16,18,8074,60,59,51,1,71.18
Liam Stocker,St Kilda,23,239,153,392,145,NA,2,39,14,13,NA,26,NA,1525,1591,100,271,312,80,48,9,NA,7,NA,7,83,47,1,5998,50,65,116,NA,72.26
Jackson Macrae,Western Bulldogs,22,239,318,557,82,7,2,97,25,12,NA,86,13,2198,2020,220,339,441,79,41,1,2,90,27,63,34,31,1,6407,121,74,63,11,78.59
James Rowbottom,Sydney,24,238,192,430,27,6,6,176,32,28,NA,76,10,1971,1873,245,191,274,64,89,NA,NA,113,38,75,40,25,NA,6538,104,97,65,23,75.67
Braeden Campbell,Sydney,23,238,123,361,99,8,9,63,13,19,NA,58,6,1592,1522,121,245,271,75,61,6,7,26,5,21,49,34,3,7481,73,84,83,3,79.52
Brandon Starcevich,Brisbane,26,233,72,305,116,1,NA,40,17,22,NA,30,2,1441,1308,106,184,243,80,56,16,NA,8,2,6,62,55,1,4973,62,66,130,NA,85.19
Isaac Cumming,GWS,20,231,103,334,83,6,NA,49,9,11,NA,39,3,1366,1356,78,202,252,75,51,5,5,18,2,16,66,54,10,6789,66,75,75,6,79.15
Charlie Ballard,Gold Coast,23,230,63,293,142,1,NA,29,14,20,NA,18,1,1654,1318,120,164,233,80,60,44,1,1,NA,1,66,142,1,4625,38,48,181,NA,95.74
Bailey Smith,Western Bulldogs,19,230,217,447,62,4,8,66,9,11,NA,69,5,1525,1582,149,300,304,68,55,1,1,66,12,54,30,20,5,6621,85,77,33,14,82.47
Jade Gresham,St Kilda,23,229,175,404,87,21,16,74,17,18,NA,79,12,1555,1699,149,241,255,63,87,5,24,35,14,21,11,16,7,5557,123,88,37,18,81.17
Alex Neal-Bullen,Melbourne,25,228,158,386,77,19,11,118,29,14,1,85,14,1801,1816,154,237,247,64,71,2,11,24,6,18,14,27,3,6948,112,98,55,24,76.88
Max Gawn,Melbourne,22,228,144,372,102,10,14,44,29,22,565,75,3,2337,2056,246,132,229,62,70,51,16,94,36,58,25,66,NA,5772,102,79,67,8,81.09
Ben Ainsworth,Gold Coast,21,228,143,371,100,21,15,39,13,8,NA,64,11,1604,1556,136,241,268,72,53,3,23,24,8,16,26,12,1,6221,115,88,43,14,82
Max Holmes,Geelong,21,228,172,400,69,7,5,88,19,20,NA,83,7,1676,1593,158,238,259,65,70,4,7,66,22,44,26,21,17,7589,91,88,65,9,74.62
Jack Steele,St Kilda,21,227,272,499,86,4,3,150,27,22,NA,89,8,2025,2071,226,282,366,73,79,4,7,98,44,54,27,36,1,5869,85,91,67,16,79.48
Patrick Cripps,Carlton,24,226,369,595,51,9,14,130,37,33,3,84,17,2319,2098,327,274,417,70,94,8,7,162,62,100,14,28,3,6363,154,72,31,19,80.58
Taylor Walker,Adelaide,22,226,60,286,124,76,34,29,18,27,55,53,16,1970,1768,138,150,178,62,68,41,63,20,NA,20,NA,27,1,6519,173,64,7,19,82.86
Connor Idun,GWS,26,225,220,445,142,NA,NA,48,16,9,NA,23,1,2097,1722,152,295,377,85,38,8,NA,5,NA,5,98,149,11,5884,57,64,170,NA,88.69
Miles Bergman,Port Adelaide,24,225,106,331,115,3,8,57,19,18,NA,50,6,1605,1451,140,201,222,67,66,15,3,29,6,23,79,66,4,7760,65,99,127,4,81.83
