AgeClass,Name,Sex,Event,Equipment,Age,BirthYearClass,Division,BodyweightKg,WeightClassKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,Lift,Best_lift
13-15,Samuel Talley,M,SBD,Raw,15,14-18,RT 14-15,70.76,75,292.5,4,218.08,217.41,210.59,43.96,Yes,USA,NC,AAU,Best3BenchKg,72.5
13-15,Samuel Talley,M,SBD,Raw,15,14-18,RT 14-15,70.76,75,292.5,4,218.08,217.41,210.59,43.96,Yes,USA,NC,AAU,Best3DeadliftKg,112.5
13-15,Daniil Obolonnik,M,SBD,Raw,13.5,14-18,Sub-Juniors,62.5,66,207.5,5,169.49,170.63,166.26,33.3,Yes,Russia,NA,FPR,Best3SquatKg,72.5
13-15,Daniil Obolonnik,M,SBD,Raw,13.5,14-18,Sub-Juniors,62.5,66,207.5,5,169.49,170.63,166.26,33.3,Yes,Russia,NA,FPR,Best3BenchKg,40
13-15,Daniil Obolonnik,M,SBD,Raw,13.5,14-18,Sub-Juniors,62.5,66,207.5,5,169.49,170.63,166.26,33.3,Yes,Russia,NA,FPR,Best3DeadliftKg,95
13-15,Jake Matyilno,M,SBD,Single-ply,15,14-18,M-O,90,90,408.23,2,263.96,260.61,249.77,45.05,Yes,USA,MO,USAPL,Best3SquatKg,124.74
13-15,Jake Matyilno,M,SBD,Single-ply,15,14-18,M-O,90,90,408.23,2,263.96,260.61,249.77,45.05,Yes,USA,MO,USAPL,Best3BenchKg,111.13
13-15,Jake Matyilno,M,SBD,Single-ply,15,14-18,M-O,90,90,408.23,2,263.96,260.61,249.77,45.05,Yes,USA,MO,USAPL,Best3DeadliftKg,172.37
13-15,Hicham Ben Cheikh,M,SBD,Raw,14.5,14-18,Sub-Juniors,73.1,74,511,1,372.76,370.8,358.68,75.5,Yes,Algeria,NA,AfricanPF,Best3SquatKg,188
13-15,Hicham Ben Cheikh,M,SBD,Raw,14.5,14-18,Sub-Juniors,73.1,74,511,1,372.76,370.8,358.68,75.5,Yes,Algeria,NA,AfricanPF,Best3BenchKg,105
13-15,Hicham Ben Cheikh,M,SBD,Raw,14.5,14-18,Sub-Juniors,73.1,74,511,1,372.76,370.8,358.68,75.5,Yes,Algeria,NA,AfricanPF,Best3DeadliftKg,218
13-15,Jason Hardwick,M,SBD,Raw,13.5,14-18,MR-T1,60,60,272.5,1,230,232.41,226.95,44.69,Yes,USA,WA,USAPL,Best3SquatKg,82.5
13-15,Jason Hardwick,M,SBD,Raw,13.5,14-18,MR-T1,60,60,272.5,1,230,232.41,226.95,44.69,Yes,USA,WA,USAPL,Best3BenchKg,72.5
13-15,Jason Hardwick,M,SBD,Raw,13.5,14-18,MR-T1,60,60,272.5,1,230,232.41,226.95,44.69,Yes,USA,WA,USAPL,Best3DeadliftKg,117.5
13-15,Kevin Bao,M,SBD,Raw,15,14-18,Teen 14-15,67.5,67.5,340,2,262.05,262.15,254.46,52.38,Yes,NA,NA,NORCAL,Best3SquatKg,107.5
13-15,Kevin Bao,M,SBD,Raw,15,14-18,Teen 14-15,67.5,67.5,340,2,262.05,262.15,254.46,52.38,Yes,NA,NA,NORCAL,Best3BenchKg,75
13-15,Kevin Bao,M,SBD,Raw,15,14-18,Teen 14-15,67.5,67.5,340,2,262.05,262.15,254.46,52.38,Yes,NA,NA,NORCAL,Best3DeadliftKg,157.5
13-15,Elijah Sikes,M,SBD,Raw,15,14-18,MR-Sj,93.55,105,410,2,260.13,256.84,245.77,53.48,Yes,USA,LA,AMP,Best3SquatKg,145
13-15,Elijah Sikes,M,SBD,Raw,15,14-18,MR-Sj,93.55,105,410,2,260.13,256.84,245.77,53.48,Yes,USA,LA,AMP,Best3BenchKg,75
13-15,Elijah Sikes,M,SBD,Raw,15,14-18,MR-Sj,93.55,105,410,2,260.13,256.84,245.77,53.48,Yes,USA,LA,AMP,Best3DeadliftKg,190
13-15,Artem Kuzovkom,M,SBD,Raw,13.5,14-18,Sub-Juniors,47.15,48,195,1,205.87,212.98,210.81,36.4,Yes,NA,NA,FPR,Best3SquatKg,60
13-15,Artem Kuzovkom,M,SBD,Raw,13.5,14-18,Sub-Juniors,47.15,48,195,1,205.87,212.98,210.81,36.4,Yes,NA,NA,FPR,Best3BenchKg,45
13-15,Artem Kuzovkom,M,SBD,Raw,13.5,14-18,Sub-Juniors,47.15,48,195,1,205.87,212.98,210.81,36.4,Yes,NA,NA,FPR,Best3DeadliftKg,90
13-15,Colin Hudson,M,SBD,Raw,14.5,14-18,MR-T1,88.5,90,432.5,1,282.06,278.52,267.13,57.98,Yes,USA,MA,USAPL,Best3SquatKg,150
