name,team,position,height,height_inches,wingspan,wingspan_inches,wingspan_advantage,games,minutes,avg_dist_of_fg,2pt_rate,3pt_rate,fg_percent,2pt_percent,3pt_percent,ft_percent,e_fg_percent,ts_percent,pts,trb,stl,blk,d_rtg,dws,dbpm
Royce O'Neale,PHX,SF,"6'4""",76,"6'9""",81,5,75,1837,21.2,0.226,0.774,0.423,0.481,0.406,0.731,0.58,0.585,13.3,6.8,1.3,0.7,118,1.2,-0.1
Rui Hachimura,LAL,PF,"6'7.75""",79.75,"7'2""",86,6.25,59,1869,13.7,0.571,0.429,0.509,0.581,0.413,0.77,0.597,0.619,14.9,5.7,0.9,0.5,117,1.5,-0.6
Russell Westbrook,DEN,PG,"6'2.25""",74.25,"6'7.75""",79.75,5.5,75,2092,12.3,0.65,0.35,0.449,0.517,0.323,0.661,0.505,0.532,17.1,6.4,1.8,0.6,115,2.1,-0.2
Ryan Dunn,PHX,PF,"6'6.25""",78.25,"7'1.5""",85.5,7.25,74,1410,16,0.447,0.553,0.43,0.577,0.311,0.487,0.516,0.517,13,6.8,1.1,1,119,0.7,-1.2
Ryan Rollins,MIL,PG,"6'2""",74,"6'9.75""",81.75,7.75,56,820,14.6,0.557,0.443,0.487,0.55,0.408,0.8,0.577,0.6,15.3,4.7,1.8,0.7,112,1,0.9
Sam Hauser,BOS,SF,"6'6.75""",78.75,"6'9.25""",81.25,2.5,71,1541,22.9,0.158,0.842,0.451,0.64,0.416,1,0.627,0.632,14.1,5.2,1,0.3,113,1.8,-0.1
Sam Merrill,CLE,SG,"6'3.5""",75.5,"6'5""",77,1.5,71,1401,22.7,0.132,0.868,0.406,0.625,0.372,0.966,0.567,0.583,13.1,4,1.4,0.4,114,1.5,0.7
Sandro Mamukelashvili,SAS,PF,"6'9""",81,"7'1.25""",85.25,4.25,61,681,16.1,0.427,0.573,0.502,0.675,0.373,0.741,0.609,0.628,20.4,9.9,1.2,0.9,116,0.6,-1
Santi Aldama,MEM,PF,"6'10.75""",82.75,"6'11""",83,0.25,65,1660,15.6,0.497,0.503,0.483,0.599,0.368,0.691,0.576,0.588,17.6,9,1.1,0.6,113,2,0.7
Scoot Henderson,POR,PG,"6'2""",74,"6'9""",81,7,66,1759,14.9,0.566,0.434,0.419,0.469,0.354,0.767,0.496,0.54,17.1,4.1,1.4,0.3,117,1.4,-0.8
Scottie Barnes,TOR,SF,"6'7""",79,"7'2.75""",86.75,7.75,65,2134,12.6,0.737,0.263,0.446,0.508,0.271,0.755,0.482,0.523,21.1,8.5,1.6,1.1,112,2.9,0.9
Seth Curry,CHA,SG,"6'1""",73,"6'4""",76,3,68,1062,18.8,0.469,0.531,0.478,0.503,0.456,0.846,0.599,0.616,15.1,3.8,0.9,0.2,120,0.5,-0.9
Shaedon Sharpe,POR,SG,"6'4.25""",76.25,"6'11.5""",83.5,7.25,72,2252,15.7,0.572,0.428,0.452,0.557,0.311,0.785,0.519,0.551,21.3,5.2,1,0.3,117,1.7,-1.3
Shai Gilgeous-Alexander,OKC,PG,"6'4.5""",76.5,"6'11.5""",83.5,7,76,2598,12.9,0.737,0.263,0.519,0.571,0.375,0.898,0.569,0.637,34.4,5.3,1.8,1.1,107,4.8,2.6
Shake Milton,LAL,SG,"6'4.5""",76.5,"7'0.75""",84.75,8.25,57,837,14.3,0.583,0.417,0.453,0.52,0.358,0.797,0.528,0.563,13.5,4.5,1.1,0.2,118,0.5,-0.5
Spencer Dinwiddie,DAL,PG,"6'4.5""",76.5,"6'8.25""",80.25,3.75,79,2136,15.9,0.522,0.478,0.416,0.492,0.334,0.802,0.496,0.553,14.7,3.5,1.2,0.3,119,1.2,-0.7
Stephen Curry,GSW,PG,"6'2""",74,"6'3.5""",75.5,1.5,70,2252,20,0.377,0.623,0.448,0.534,0.397,0.933,0.572,0.618,27.5,5,1.3,0.5,113,2.7,0
Stephon Castle,SAS,SG,"6'5.5""",77.5,"6'9""",81,3.5,81,2162,12.6,0.663,0.337,0.428,0.501,0.285,0.724,0.476,0.522,19.8,4.9,1.2,0.4,119,1,-1.7
Steven Adams,HOU,C,"6'10.75""",82.75,"7'4.5""",88.5,5.75,58,794,4.1,0.988,0.012,0.545,0.552,0,0.462,0.545,0.541,10.2,14.8,1,1.3,109,1.3,0.3
Svi Mykhailiuk,UTA,SG,"6'6.5""",78.5,"6'5""",77,-1.5,38,760,19.7,0.328,0.672,0.391,0.485,0.345,0.8,0.507,0.526,15.8,4.3,0.9,0.3,123,0.1,-2.1
T.J. McConnell,IND,PG,"6'0.5""",72.5,"6'2""",74,1.5,79,1415,9.1,0.921,0.079,0.519,0.537,0.306,0.74,0.531,0.547,18.3,4.9,2.1,0.5,113,1.7,0.6
Talen Horton-Tucker,CHI,SG,"6'2.5""",74.5,"7'1.25""",85.25,10.75,58,724,12.6,0.581,0.419,0.457,0.544,0.336,0.735,0.527,0.567,18.8,5,1,0.5,117,0.5,-1.1
Tari Eason,HOU,PF,"6'6.75""",78.75,"7'2""",86,7.25,57,1420,11.3,0.671,0.329,0.487,0.557,0.342,0.76,0.543,0.567,17.4,9.2,2.5,1.3,106,2.9,2.6
Taurean Prince,MIL,SF,"6'6.5""",78.5,"6'11.5""",83.5,5,80,2166,18,0.348,0.652,0.457,0.492,0.439,0.813,0.6,0.613,10.9,4.8,1.3,0.2,115,2.2,0.3
Terance Mann,ATL,SF,"6'4.75""",76.75,"6'7.75""",79.75,3,67,1414,13.5,0.605,0.395,0.496,0.58,0.368,0.691,0.569,0.584,13.2,5.1,1.2,0.4,116,1.3,0
Terry Rozier,MIA,PG,"6'0.5""",72.5,"6'8.25""",80.25,7.75,64,1658,15.7,0.515,0.485,0.391,0.48,0.295,0.852,0.462,0.497,14.7,5.2,0.8,0.3,116,1.5,-1
Thomas Bryant,IND,C,"6'9.5""",81.5,"7'6""",90,8.5,66,963,14.9,0.539,0.461,0.508,0.665,0.324,0.859,0.583,0.614,16,9.4,1,1.5,113,1.2,0
Tidjane Salaün,CHA,PF,"6'9""",81,"7'0.75""",84.75,3.75,60,1244,17.6,0.406,0.594,0.33,0.4,0.283,0.713,0.414,0.457,10.2,8.1,0.8,0.4,117,0.9,-0.8
Tim Hardaway Jr.,DET,SG,"6'4.5""",76.5,"6'7""",79,2.5,77,2153,20.2,0.328,0.672,0.406,0.484,0.368,0.855,0.529,0.567,14.1,3.1,0.6,0.1,118,1.4,-0.9
Tobias Harris,DET,PF,"6'6.5""",78.5,"6'11""",83,4.5,73,2305,13.1,0.672,0.328,0.477,0.542,0.345,0.861,0.534,0.571,15.6,6.7,1.2,0.9,113,2.9,0.6
Toumani Camara,POR,PF,"6'7""",79,"7'0.5""",84.5,5.5,78,2548,14,0.497,0.503,0.458,0.542,0.375,0.722,0.552,0.572,12.5,6.4,1.6,0.7,115,2.6,0.8
Trae Young,ATL,PG,"6'0.5""",72.5,"6'3""",75,2.5,76,2739,17.3,0.533,0.467,0.411,0.474,0.34,0.875,0.491,0.567,24.2,3.1,1.2,0.2,119,1.3,-2.7
Trayce Jackson-Davis,GSW,C,"6'8.25""",80.25,"7'1""",85,4.75,62,967,3.4,0.99,0.01,0.576,0.582,0,0.578,0.576,0.587,15.2,11.6,0.9,1.4,111,1.4,0.9
Tre Jones,CHI,PG,"6'1""",73,"6'4""",76,3,46,905,8.9,0.798,0.202,0.538,0.574,0.396,0.821,0.578,0.617,13.1,4.6,1.5,0.4,118,0.6,1
Trendon Watford,BKN,PF,"6'7.5""",79.5,"7'2.25""",86.25,6.75,44,913,10.2,0.749,0.251,0.469,0.515,0.33,0.762,0.51,0.557,17.7,6.3,1.1,0.5,116,0.8,-0.8
Trey Lyles,SAC,PF,"6'9""",81,"7'1.5""",85.5,4.5,69,1349,17.6,0.364,0.636,0.42,0.559,0.34,0.7,0.528,0.551,12,8.4,1.1,0.6,116,1.2,-0.3
Trey Murphy III,NOP,SF,"6'7.5""",79.5,"7'0""",84,4.5,53,1854,16.6,0.478,0.522,0.454,0.556,0.361,0.887,0.548,0.598,21.8,5.2,1.1,0.8,121,0.5,-1.4
Tristan Da Silva,ORL,PF,"6'8.25""",80.25,"6'10.25""",82.25,2,74,1629,15.1,0.505,0.495,0.412,0.488,0.335,0.873,0.495,0.522,11.8,5.4,0.7,0.4,113,1.9,-0.3
Ty Jerome,CLE,PG,"6'4.25""",76.25,"6'4""",76,-0.25,70,1392,15.6,0.591,0.409,0.516,0.57,0.439,0.872,0.606,0.643,22.7,4.5,2,0.1,113,1.8,0.8
Tyler Herro,MIA,SG,"6'4.5""",76.5,"6'3.25""",75.25,-1.25,77,2725,16.7,0.514,0.486,0.472,0.565,0.375,0.878,0.563,0.605,24.3,5.3,0.9,0.2,115,2.7,-0.7
Tyrese Haliburton,IND,PG,"6'4.75""",76.75,"6'7.75""",79.75,3,73,2451,19.3,0.441,0.559,0.473,0.581,0.388,0.851,0.582,0.616,20,3.8,1.5,0.7,115,2.3,0.2
Tyrese Maxey,PHI,PG,"6'2""",74,"6'7""",79,5,52,1960,15.1,0.562,0.438,0.437,0.515,0.337,0.879,0.511,0.562,25.1,3.2,1.7,0.4,119,1,-1.1
Tyus Jones,PHX,PG,"6'0.5""",72.5,"6'5""",77,4.5,81,2174,18.3,0.413,0.587,0.448,0.496,0.414,0.895,0.57,0.585,13.7,3.2,1.1,0.1,122,0.3,-1.3
Vasilije Micić,PHX,PG,"6'4""",76,"6'7""",79,3,41,785,17,0.542,0.458,0.348,0.338,0.36,0.829,0.43,0.462,12.3,4.1,0.7,0,121,0.2,-2.4
