Name,Sex,Age,BodyweightKg,BenchKg,SquatKg,DeadliftKg
Savannah Maxwell,F,25,75.3,90,162.5,157.5
Mabelle Bong,F,25,80.6,70,150,170
Reyna Rochin,F,25,62.3,75,127.5,155
Jennifer Giannina,F,25,72.7,42.5,107.5,137.5
Jessica Giannina,F,25,71.1,60,117.5,152.5
Abigail Mutia,F,25,59.16,72.5,137.5,155
Jamie Smith #3,F,25,74.98,82.5,135,170
Hannah Ivester,F,25,67.5,72.5,150,170
Hannah Ivester,F,25,67.5,72.5,150,170
Rachel Holland,F,25,73.9,75,147.5,162.5
Alex Donald,F,25,82.5,92.5,140,185
Danielle Hagen,F,25,94.5,47.5,82.5,127.5
Gina Lam,F,25,56.8,55,110,145
Heidi Van Mastrigt,F,25,62.6,52.5,115,147.5
Jennifer Combs,F,25,58.4,90,157.5,170
Kathy Le,F,25,56,67.5,122.5,170
Alex Jackson #1,F,25,80.7,95,165,185
Lauren Rounds,F,25,62,60,115,142.5
Ellysia Martin,F,25,91.4,77.5,175,182.5
Christina Villanueva,F,25,83.1,67.5,132.5,152.5
Jennifer Cooke,F,25,58.15,47.5,97.5,137.5
Britt Holloway,F,25,81.09,95,157.5,155
Skylyn Kopas,F,25,60.12,60,100,140
Kasey Himmelberger,F,25,88.55,90,182.5,217.5
Amanda Ellis,F,25,62.4,52.5,97.5,100
Stacie Pomrening,F,25,96.5,107.5,155,185
Charley Leonard,F,25,59.6,92.5,155,182.5
Chelsea Delois,F,25,69,67.5,122.5,135
Sheri Stiles,F,25,73.07,70,132.5,182.5
Sophia Veiras,F,25,62.8,75,150,160
Melanie Merryman,F,25,69,62.5,92.5,125
Fanny Tam,F,25,46.6,40,85,85
Lisa Benitez,F,25,57,60,122.5,137.5
Tessa Willis,F,25,67.4,62.5,142.5,182.5
Sarah Sicard,F,25,75.7,87.5,160,182.5
Sarah Sicard,F,25,75.7,87.5,160,182.5
Kasey Himmelberger,F,25,96.95,100,197.5,232.5
Lisa Benitez,F,25,59.7,62.5,130,140
Amanda Martin #1,F,25,145.24,127.5,275.5,235
Britney Baker,F,25,129.42,102.5,217.5,240
Arielle Patra,F,25,51.85,85,142.5,165
Katherine Snethen,F,25,56.6,52.5,125,142.5
Michele Centineo,F,25,58.4,70,127.5,125
Claire Zai,F,25,71.33,110,165,195
Annie Weeden,F,25,67.8,77.5,125,155
Deidre Depoali,F,25,51.8,47.5,80,97.5
Elisha Pager,F,25,80.71,90,167.5,195.5
Jazzylyn Pepper-West,F,25,51.5,82.5,130,167.5
Amber Monk,F,25,60,57.5,115,120
Clare Michalak,F,25,75.3,82.5,152.5,182.5
Lauren Cline,F,25,62.5,50,95,105
Pamela Bartz,F,25,55,67.5,125,137.5
Cristina Escalante,F,25,64.1,72.5,120,140
Desiree Colozzo,F,25,55.1,50,102.5,125
Veronica Pasha,F,25,68.6,57.5,122.5,150
