Date,Site,set,play_description,set_winner,losing_team_at_timeout,losing_team_win,home_before_timeout,visiting_before_timeout,winner_next_point,home_after_timeout,visiting_after_timeout,overall_set_number
2014-09-13,"Athens, Ga. (Ramsey Center)

",3,Timeout UNC Asheville.,visiting,home,FALSE,23,24,home,24,24,987
2014-09-20,"Boston, Mass. (Cabot Center)

",1,Timeout Harvard.,home,home,TRUE,11,14,home,12,14,988
2014-09-20,"Boston, Mass. (Cabot Center)

",1,Timeout Harvard.,home,home,TRUE,14,21,home,15,21,988
2014-09-20,"Boston, Mass. (Cabot Center)

",1,Timeout Northeastern.,home,home,TRUE,19,21,home,20,21,988
2014-09-20,"Boston, Mass. (Cabot Center)

",1,Timeout Northeastern.,home,visiting,FALSE,23,22,visiting,23,23,988
2014-09-20,"Boston, Mass. (Cabot Center)

",2,Timeout Harvard.,visiting,home,FALSE,5,11,visiting,5,12,989
2014-09-20,"Boston, Mass. (Cabot Center)

",2,Timeout Harvard.,visiting,home,FALSE,8,19,visiting,8,20,989
2014-09-20,"Boston, Mass. (Cabot Center)

",3,Timeout Harvard.,home,home,TRUE,11,14,home,12,14,990
2014-09-20,"Boston, Mass. (Cabot Center)

",3,Timeout Northeastern.,home,tied,FALSE,22,22,home,23,22,990
2014-09-20,"Boston, Mass. (Cabot Center)

",3,Timeout Harvard.,home,tied,FALSE,23,23,home,24,23,990
2014-09-20,"Boston, Mass. (Cabot Center)

",4,Timeout Northeastern.,home,visiting,FALSE,12,9,visiting,12,10,991
