"Event","NOC"
"Rowing Men's Quadruple Sculls","CZE"
"Rowing Men's Quadruple Sculls","DEN"
"Rowing Men's Quadruple Sculls","ESP"
"Rowing Men's Quadruple Sculls","EST"
"Rowing Men's Quadruple Sculls","EUN"
"Rowing Men's Quadruple Sculls","FRA"
"Rowing Men's Quadruple Sculls","FRG"
"Rowing Men's Quadruple Sculls","GBR"
"Rowing Men's Quadruple Sculls","GDR"
"Rowing Men's Quadruple Sculls","GER"
"Rowing Men's Quadruple Sculls","HUN"
"Rowing Men's Quadruple Sculls","ITA"
"Rowing Men's Quadruple Sculls","LTU"
"Rowing Men's Quadruple Sculls","NED"
"Rowing Men's Quadruple Sculls","NOR"
"Rowing Men's Quadruple Sculls","NZL"
"Rowing Men's Quadruple Sculls","POL"
"Rowing Men's Quadruple Sculls","RUS"
"Rowing Men's Quadruple Sculls","SLO"
"Rowing Men's Quadruple Sculls","SUI"
"Rowing Men's Quadruple Sculls","SWE"
"Rowing Men's Quadruple Sculls","TCH"
"Rowing Men's Quadruple Sculls","UKR"
"Rowing Men's Quadruple Sculls","URS"
"Rowing Men's Quadruple Sculls","USA"
"Rowing Men's Quadruple Sculls","YUG"
"Rowing Men's Single Sculls","ALG"
"Rowing Men's Single Sculls","ANZ"
"Rowing Men's Single Sculls","ARG"
"Rowing Men's Single Sculls","AUS"
"Rowing Men's Single Sculls","AUT"
"Rowing Men's Single Sculls","AZE"
"Rowing Men's Single Sculls","BEL"
"Rowing Men's Single Sculls","BER"
"Rowing Men's Single Sculls","BLR"
"Rowing Men's Single Sculls","BOH"
"Rowing Men's Single Sculls","BRA"
"Rowing Men's Single Sculls","BUL"
"Rowing Men's Single Sculls","CAN"
"Rowing Men's Single Sculls","CHI"
"Rowing Men's Single Sculls","CHN"
"Rowing Men's Single Sculls","CMR"
"Rowing Men's Single Sculls","COL"
"Rowing Men's Single Sculls","CRO"
"Rowing Men's Single Sculls","CUB"
"Rowing Men's Single Sculls","CZE"
"Rowing Men's Single Sculls","DEN"
"Rowing Men's Single Sculls","ECU"
"Rowing Men's Single Sculls","EGY"
"Rowing Men's Single Sculls","ESA"
"Rowing Men's Single Sculls","ESP"
"Rowing Men's Single Sculls","EST"
"Rowing Men's Single Sculls","EUN"
"Rowing Men's Single Sculls","FIN"
"Rowing Men's Single Sculls","FRA"
"Rowing Men's Single Sculls","FRG"
"Rowing Men's Single Sculls","GBR"
"Rowing Men's Single Sculls","GDR"
"Rowing Men's Single Sculls","GER"
"Rowing Men's Single Sculls","GRE"
"Rowing Men's Single Sculls","GUA"
"Rowing Men's Single Sculls","HKG"
"Rowing Men's Single Sculls","HON"
"Rowing Men's Single Sculls","HUN"
"Rowing Men's Single Sculls","INA"
"Rowing Men's Single Sculls","IND"
"Rowing Men's Single Sculls","IRI"
"Rowing Men's Single Sculls","IRL"
"Rowing Men's Single Sculls","IRQ"
"Rowing Men's Single Sculls","ITA"
"Rowing Men's Single Sculls","JPN"
"Rowing Men's Single Sculls","KAZ"
"Rowing Men's Single Sculls","KEN"
"Rowing Men's Single Sculls","KOR"
"Rowing Men's Single Sculls","KUW"
"Rowing Men's Single Sculls","LAT"
"Rowing Men's Single Sculls","LBA"
"Rowing Men's Single Sculls","LIB"
"Rowing Men's Single Sculls","LTU"
"Rowing Men's Single Sculls","MEX"
"Rowing Men's Single Sculls","MON"
"Rowing Men's Single Sculls","NED"
"Rowing Men's Single Sculls","NIG"
"Rowing Men's Single Sculls","NOR"
"Rowing Men's Single Sculls","NZL"
"Rowing Men's Single Sculls","PAK"
"Rowing Men's Single Sculls","PAR"
"Rowing Men's Single Sculls","PER"
"Rowing Men's Single Sculls","PHI"
"Rowing Men's Single Sculls","POL"
"Rowing Men's Single Sculls","POR"
"Rowing Men's Single Sculls","PUR"
"Rowing Men's Single Sculls","ROU"
"Rowing Men's Single Sculls","RSA"
"Rowing Men's Single Sculls","RUS"
"Rowing Men's Single Sculls","SAA"
"Rowing Men's Single Sculls","SLO"
"Rowing Men's Single Sculls","SUI"
"Rowing Men's Single Sculls","SVK"
"Rowing Men's Single Sculls","SWE"
"Rowing Men's Single Sculls","TCH"
"Rowing Men's Single Sculls","THA"
"Rowing Men's Single Sculls","TPE"
"Rowing Men's Single Sculls","TUN"
"Rowing Men's Single Sculls","TUR"
"Rowing Men's Single Sculls","UKR"
"Rowing Men's Single Sculls","URS"
"Rowing Men's Single Sculls","URU"
