date,place,opponent_1,opponent_2,opponent_1_estimated_punch_power,opponent_2_estimated_punch_power,opponent_1_estimated_punch_resistance,opponent_2_estimated_punch_resistance,opponent_1_estimated_ability_to_take_punch,opponent_2_estimated_ability_to_take_punch,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,opponent_1_has_been_ko_percentage,opponent_2_has_been_ko_percentage,opponent_1_avg_weight,opponent_2_avg_weight,verdict
15 September 2018,Unknown,Saul Alvarez ,Gennady Golovkin,72,72,59.7,67.3,85,84,364,184,9.34,18.48,0,0,153.13,159.66,Alvarez won via MD in round 12
22 September 2018,Unknown,Yvan Mendy ,Luke Campbell,60,60,54.1,59.6,66,71,296,113,6.42,13.27,0,0,139.83,135.24,Campbell won via UD in round 12
7 October 2018,Unknown,Juan Carlos Payano ,Naoya Inoue,60,60,53.1,64.3,73,73,137,92,6.57,15.22,0,0,119.18,109.2,Inoue won via KO in round 1
27 October 2018,Unknown,Tony Dixon ,Kieran Gething,53,53,49.9,53.5,44,53,32,38,3.13,5.26,14.29,,151.06,,Dixon won via PTS in round 10
1 December 2018,Unknown,Deontay Wilder ,Tyson Fury,89,89,62.4,65.9,82,82,123,160,31.71,11.88,0,0,243.1,248.92,Draw - 12 round SD decision
22 December 2018,Unknown,David Price ,Tom Little,73,73,65.9,55.3,68,55,86,45,19.77,,23.08,25,246.75,224.25,Price won via TKO in round 4
15 December 2018,Unknown,Saul Alvarez ,Rocky Fielding,72,72,60.2,58.5,85,73,376,129,9.04,11.63,,3.57,153.27,169.47,Alvarez won via TKO in round 3
19 January 2019,Unknown,Manny Pacquiao ,Adrien Broner,71,71,66.3,58,79,82,462,223,8.44,10.76,4.35,,123.9,134.88,Pacquiao won via UD in round 12
22 December 2018,Unknown,Josh Warrington ,Carl Frampton,53,53,58.1,61.3,70,77,205,183,2.93,8.2,0,0,127.08,121.85,Warrington won via UD in round 12
2 February 2019,Unknown,Henry Janes ,Kieran Gething,48,48,48.8,52.6,46,53,121,48,,4.17,23.08,,247.35,,Gething won via PTS in round 10
23 February 2019,Unknown,James Degale ,Chris Eubank Jr,69,69,66.8,60.9,78,76,198,172,7.58,12.21,0,0,168.17,161.7,Eubank Jr won via UD in round 12
8 March 2019,Unknown,Razvan Cojanu ,Daniel Dubois,59,59,49.5,39.4,68,63,93,28,9.68,32.14,9.52,,242.75,230.38,Dubois won via KO in round 2
9 March 2019,Unknown,Yordenis Ugas ,Shawn Porter,63,63,57.3,63.5,73,80,153,207,7.19,8.21,0,0,144.06,152.53,Porter won via SD in round 12
15 March 2019,Unknown,Adrian Young ,Luke Campbell,63,63,39.8,60,70,71,93,125,16.13,12,0,0,124.01,135.24,Campbell won via TKO in round 5
16 March 2019,Unknown,J'leon Love ,David Benavidez,63,63,56.6,40,75,78,166,77,7.83,23.38,3.57,,163.3,181.05,Benavidez won via KO in round 2
16 March 2019,Unknown,Mikey Garcia ,Errol Spence Jr,75,75,63.5,61.5,79,76,214,96,14.02,21.88,0,0,127.69,148.6,Spence Jr won via UD in round 12
30 March 2019,Unknown,Kash Ali ,David Price,51,51,47.9,65.6,51,69,26,90,,20,,22.22,220.04,246.75,Price won via DQ in round 5
30 March 2019,Unknown,Robbie Davies Jnr ,Joe Hughes,71,71,56.1,51,59,59,101,158,11.88,4.43,5.56,,143.59,141.86,Davies Jnr won via UD in round 12
30 March 2019,Unknown,Anthony Fowler ,Scott Fitzgerald,80,80,41.3,41.7,58,60,35,49,25.71,18.37,0,0,157.3,,Fitzgerald won via SD in round 10
20 April 2019,Unknown,Alexander Dimitrenko ,Andy Ruiz Jr,67,67,63.4,56.1,78,81,244,139,10.66,14.39,6.67,,238.37,248.34,Ruiz Jr won via RTD in round 5
4 May 2019,Unknown,Daniel Jacobs ,Saul Alvarez,79,79,61.4,60.4,79,85,157,379,18.47,9.23,2.7,,162.08,153.27,Alvarez won via UD in round 12
18 May 2019,Unknown,Deontay Wilder ,Dominic Breazeale,88,88,63,57.3,82,81,135,86,28.89,20.93,,4.76,243.43,237.83,Wilder won via KO in round 1
1 June 2019,Unknown,Craig Woodruff ,Kieran Gething,48,48,50.1,51.8,50,53,60,64,3.33,3.13,9.09,,135.17,,Gething won via PTS in round 10
1 June 2019,Unknown,Andy Ruiz Jr ,Anthony Joshua,71,71,56.7,69.9,81,83,144,84,14.58,25,0,0,248.34,237.26,Ruiz Jr won via TKO in round 7
15 June 2019,Unknown,Tyson Fury ,Tom Schwarz,71,71,66.5,47.7,86,69,172,89,11.05,17.98,0,0,247.5,232.91,Fury won via TKO in round 2
21 June 2019,Unknown,Ted Cheesman ,Kieron Conway,67,67,50.7,53,64,51,91,40,9.89,5,0,0,0,0,Draw - 12 round SD decision
20 July 2019,Unknown,Dillian Whyte ,Oscar Rivas,71,71,62,61.7,78,83,133,107,13.53,16.82,3.85,,228.91,235.7,Whyte won via UD in round 12
15 June 2019,Unknown,Kid Galahad ,Josh Warrington,67,67,55.3,58.8,69,71,151,217,9.93,,0,0,126.72,127.08,Warrington won via SD in round 12
17 August 2019,Unknown,Vincent Feigenbutz ,Cesar Nunez,78,78,51.3,39.6,74,53,130,77,20.77,7.79,6.25,,166.64,,Feigenbutz won via TKO in round 8
24 August 2019,Unknown,Sergey Kovalev ,Anthony Yarde,78,78,61.1,46.2,74,67,162,51,17.28,33.33,5.41,,174.99,179.95,Kovalev won via TKO in round 11
23 November 2019,Unknown,Luis Ortiz ,Deontay Wilder,74,74,65.4,63.5,83,82,154,136,16.88,29.41,2.86,,237.75,243.43,Wilder won via KO in round 7
30 November 2019,Unknown,Carl Frampton ,Tyler Mccreary,69,69,61.6,37.6,77,66,195,77,7.69,9.09,0,0,121.85,132.1,Frampton won via UD in round 10
23 November 2019,Unknown,Callum Smith ,John Ryder,77,77,63.6,56.9,74,75,122,190,15.57,8.42,,3.13,168.72,162.74,Smith won via UD in round 12
7 December 2019,Unknown,Matt Korobov ,Chris Eubank Jr,63,63,60.5,61.5,78,76,176,184,7.95,11.41,3.23,,161.15,161.7,Eubank Jr won via TKO in round 2
7 December 2019,Unknown,Jermall Charlo ,Dennis Hogan,74,74,60.3,56.2,74,76,140,226,15,,0,0,152.84,158.69,Charlo won via TKO in round 7
7 December 2019,Unknown,Andy Ruiz Jr ,Anthony Joshua,72,72,57.4,70.5,83,81,151,91,14.57,23.08,,4.35,248.34,237.26,Joshua won via UD in round 12
21 December 2019,Unknown,Kyotaro Fujimoto ,Daniel Dubois,67,67,52.1,44.4,67,69,135,40,,32.5,4.76,,232.59,230.38,Dubois won via KO in round 2
12 December 2019,Unknown,Joe Hughes ,Sandor Martin,57,57,51.4,55.8,63,71,170,222,4.12,5.86,0,0,141.86,139.6,Martin won via UD in round 12
14 February 2020,Unknown,Francisco Fonseca ,Ryan Garcia,64,64,43.5,42.9,57,76,48,59,10.42,27.12,10,,131.05,,Garcia won via KO in round 1
29 February 2020,Unknown,Jessie Vargas ,Mikey Garcia,61,61,67.4,63.8,78,81,241,226,4.56,13.27,0,0,143.19,128.21,Garcia won via UD in round 12
7 March 2020,Unknown,Theophilus Tetteh ,Anthony Fowler,56,56,41.7,45.7,67,60,147,65,6.12,13.85,8,,154.88,155.9,Fowler won via TKO in round 1
22 February 2020,Unknown,Deontay Wilder ,Tyson Fury,88,88,63.9,66.9,83,86,143,186,28.67,10.75,0,0,242.4,247.5,Fury won via TKO in round 7
7 March 2020,Unknown,Scott Quigg ,Jono Carroll,75,75,63.4,52.2,76,63,200,122,13,,0,0,124.8,133.43,Carroll won via TKO in round 11
29 August 2020,Unknown,Joe Hughes ,Sam Maxwell,57,57,52.3,,65,,182,,3.85,,0,0,141.86,,Maxwell won via UD in round 10
17 October 2020,Unknown,Vasyl Lomachenko ,Teofimo Lopez,71,71,73.9,58.1,78,76,131,58,7.63,18.97,0,0,127.11,139.6,Lopez won via UD in round 12
