Rank,Climber,Number,Gender,School,Tops,Zones,Attempts_Tops,Attempts_Zones,Boulder,Problem,Attempts
6,Olivia Ogier,66,Women,U of Utah,1,3,2,10,4,3,0
7,Norah Chi,30,Women,None Listed,1,2,1,2,1,1,1
7,Norah Chi,30,Women,None Listed,1,2,1,2,1,2,1
7,Norah Chi,30,Women,None Listed,1,2,1,2,1,3,1
7,Norah Chi,30,Women,None Listed,1,2,1,2,2,1,1
7,Norah Chi,30,Women,None Listed,1,2,1,2,2,2,2
7,Norah Chi,30,Women,None Listed,1,2,1,2,2,3,0
7,Norah Chi,30,Women,None Listed,1,2,1,2,3,1,1
7,Norah Chi,30,Women,None Listed,1,2,1,2,3,2,6
7,Norah Chi,30,Women,None Listed,1,2,1,2,3,3,0
7,Norah Chi,30,Women,None Listed,1,2,1,2,4,1,9
7,Norah Chi,30,Women,None Listed,1,2,1,2,4,2,0
7,Norah Chi,30,Women,None Listed,1,2,1,2,4,3,0
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,1,1,1
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,1,2,2
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,1,3,0
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,2,1,4
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,2,2,0
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,2,3,0
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,3,1,2
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,3,2,2
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,3,3,2
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,4,1,10
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,4,2,0
8,Isis Rothfork,15,Women,None Listed,1,2,2,3,4,3,0
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,1,1,4
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,1,2,4
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,1,3,0
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,2,1,4
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,2,2,0
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,2,3,0
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,3,1,7
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,3,2,7
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,3,3,7
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,4,1,1
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,4,2,3
9,Campbell Sarinopoulos,45,Women,U of Utah,1,2,7,11,4,3,0
10,Isabel Albores,55,Women,None Listed,1,1,3,1,1,1,5
10,Isabel Albores,55,Women,None Listed,1,1,3,1,1,2,0
10,Isabel Albores,55,Women,None Listed,1,1,3,1,1,3,0
10,Isabel Albores,55,Women,None Listed,1,1,3,1,2,1,5
10,Isabel Albores,55,Women,None Listed,1,1,3,1,2,2,0
10,Isabel Albores,55,Women,None Listed,1,1,3,1,2,3,0
10,Isabel Albores,55,Women,None Listed,1,1,3,1,3,1,3
10,Isabel Albores,55,Women,None Listed,1,1,3,1,3,2,1
10,Isabel Albores,55,Women,None Listed,1,1,3,1,3,3,3
10,Isabel Albores,55,Women,None Listed,1,1,3,1,4,1,8
10,Isabel Albores,55,Women,None Listed,1,1,3,1,4,2,0
10,Isabel Albores,55,Women,None Listed,1,1,3,1,4,3,0
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,1,1,1
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,1,2,4
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,1,3,0
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,2,1,1
11,Arabella Jariel,73,Women,None Listed,0,2,0,2,2,2,3
