"Name","Age","Reg_Tm","Lg","Reg_G","Reg_PA","Reg_AB","Reg_R","Reg_H","Reg_Doubles","Reg_Triples","Reg_HR","Reg_RBI","Reg_SB","Reg_CS","Reg_BB","Reg_SO","Reg_BA","Reg_OBP","Reg_SLG","Reg_OPS","OPS+","Reg_TB","Reg_GDP","Reg_HBP","Reg_SH","Reg_SF","Reg_IBB","OppQual","Spring_G","Spring_PA","Spring_AB","Spring_R","Spring_H","Spring_Doubles","Spring_Triples","Spring_HR","Spring_RBI","Spring_SB","Spring_CS","Spring_BB","Spring_SO","Spring_BA","Spring_OBP","Spring_SLG","Spring_OPS","Spring_TB","Spring_GDP","Spring_HBP","Spring_SH","Spring_SF","Spring_IBB"
"Jake Burger",27,"MIA","NL",53,217,198,27,60,13,0,9,28,0,0,10,47,0.303,0.355,0.505,0.86,127,100,1,7,0,2,0,7.9,16,47,46,4,9,2,0,2,5,0,0,1,17,0.196,0.213,0.37,0.582,17,0,0,0,0,0
"Alec Burleson",24,"STL","NL",107,347,315,34,77,20,1,8,36,3,1,23,45,0.244,0.3,0.39,0.691,87,123,13,3,1,2,0,7.7,21,57,48,3,18,5,0,1,8,1,0,7,4,0.375,0.446,0.542,0.988,26,0,0,0,1,0
"Michael Busch",25,"LAD","NL",27,81,72,9,12,3,0,2,7,1,0,8,27,0.167,0.247,0.292,0.539,46,21,0,0,0,1,0,7.6,18,53,46,7,12,2,1,3,6,2,0,4,13,0.261,0.34,0.543,0.883,25,0,2,0,1,0
"Lawrence Butler",22,"OAK","AL",42,129,123,10,26,4,0,4,10,0,0,4,35,0.211,0.24,0.341,0.582,62,42,5,1,0,1,0,7.5,21,62,55,11,20,6,1,0,6,1,1,6,8,0.364,0.419,0.509,0.928,28,2,0,0,1,0
"Byron Buxton",29,"MIN","AL",85,347,304,49,63,17,1,17,42,9,0,35,109,0.207,0.294,0.438,0.731,98,133,3,4,0,4,2,6.7,13,38,35,6,11,3,2,1,4,0,0,2,7,0.314,0.368,0.6,0.968,21,1,1,0,0,0
"José Caballero",26,"SEA","AL",104,280,231,37,51,9,1,4,26,26,3,28,66,0.221,0.343,0.32,0.663,91,74,0,17,0,4,0,7.2,18,50,47,7,10,5,0,1,2,3,1,2,15,0.213,0.26,0.383,0.643,18,0,1,0,0,0
"Trey Cabbage",26,"LAA","AL",22,56,53,5,11,3,0,1,7,1,1,2,26,0.208,0.232,0.321,0.553,49,17,1,0,0,1,0,7,14,36,36,2,4,2,0,1,3,0,1,0,17,0.111,0.111,0.25,0.361,9,0,0,0,0,0
"Oswaldo Cabrera",24,"NYY","AL",115,330,298,35,63,11,0,5,29,8,0,25,72,0.211,0.275,0.299,0.574,58,89,6,2,3,2,1,7.1,20,53,47,5,10,1,0,2,3,2,1,5,11,0.213,0.302,0.362,0.664,17,1,1,0,0,0
"Willie Calhoun",28,"NYY","AL",44,149,134,16,32,7,0,5,16,0,0,14,20,0.239,0.309,0.403,0.712,94,54,2,0,0,1,1,7.1,18,41,37,4,11,3,0,1,2,0,0,4,6,0.297,0.366,0.459,0.825,17,0,0,0,0,0
"Alex Call",28,"WSN","NL",128,439,375,43,75,14,1,8,38,9,8,53,78,0.2,0.307,0.307,0.614,72,115,1,6,3,2,0,7.1,21,45,34,10,13,4,0,1,8,2,1,8,6,0.382,0.511,0.588,1.099,20,0,2,0,1,0
