"","Player1","Player2","Opponent1","Opponent2","Rank","Year","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","win_pct","total_pts","shot_pct"
"175","DU Yue","LI Wenmei","ZHANG Shuxian","ZHENG Yu",25,2022,"Women","Doubles",3,2,1,120,105,15,0.666666666666667,225,0.533333333333333
"176","Viktor AXELSEN",NA,"Anthony Sinisuka GINTING",NA,1,2022,"Men","Singles",6,6,0,289,183,106,1,472,0.61228813559322
"177","CHOU Tien Chen",NA,"LEE Cheuk Yiu",NA,2,2022,"Men","Singles",5,3,2,272,263,9,0.6,535,0.508411214953271
"178","Lakshya SEN",NA,"PRANNOY H. S.",NA,3,2022,"Men","Singles",5,3,2,213,203,10,0.6,416,0.512019230769231
"179","LEE Zii Jia",NA,"Shesar Hiren RHUSTAVITO",NA,4,2022,"Men","Singles",4,2,2,192,184,8,0.5,376,0.51063829787234
"180","Jonatan CHRISTIE",NA,"KIDAMBI Srikanth",NA,5,2022,"Men","Singles",4,2,2,170,162,8,0.5,332,0.512048192771084
"181","PRANNOY H. S.",NA,"LIEW Daren",NA,5,2022,"Men","Singles",3,2,1,170,163,7,0.666666666666667,333,0.510510510510511
"182","PRANNOY H. S.",NA,"CHOU Tien Chen",NA,7,2022,"Men","Singles",3,2,1,157,139,18,0.666666666666667,296,0.530405405405405
"183","Anthony Sinisuka GINTING",NA,"LOH Kean Yew",NA,8,2022,"Men","Singles",4,3,1,155,133,22,0.75,288,0.538194444444444
"184","CHEAM June Wei",NA,"LEONG Jun Hao",NA,9,2022,"Men","Singles",3,1,2,154,139,15,0.333333333333333,293,0.525597269624573
"185","CHOU Tien Chen",NA,"Jonatan CHRISTIE",NA,10,2022,"Men","Singles",3,2,1,150,131,19,0.666666666666667,281,0.533807829181495
"186","Viktor AXELSEN",NA,"Kodai NARAOKA",NA,11,2022,"Men","Singles",4,3,1,147,100,47,0.75,247,0.595141700404858
"187","KIDAMBI Srikanth",NA,"Brice LEVERDEZ",NA,12,2022,"Men","Singles",3,2,1,146,129,17,0.666666666666667,275,0.530909090909091
"188","LEE Zii Jia",NA,"Mark CALJOUW",NA,13,2022,"Men","Singles",3,3,0,145,98,47,1,243,0.596707818930041
"189","Jonatan CHRISTIE",NA,"Kodai NARAOKA",NA,14,2022,"Men","Singles",3,1,2,144,128,16,0.333333333333333,272,0.529411764705882
"190","Anthony Sinisuka GINTING",NA,"Sitthikom THAMMASIN",NA,15,2022,"Men","Singles",3,3,0,143,110,33,1,253,0.565217391304348
"191","Viktor AXELSEN",NA,"LU Guangzu",NA,15,2022,"Men","Singles",3,3,0,143,90,53,1,233,0.613733905579399
"192","PRANNOY H. S.",NA,"NG Ka Long Angus",NA,17,2022,"Men","Singles",4,3,1,142,131,11,0.75,273,0.52014652014652
"193","Viktor AXELSEN",NA,"Lakshya SEN",NA,18,2022,"Men","Singles",3,2,1,138,106,32,0.666666666666667,244,0.565573770491803
"194","ZHAO Junpeng",NA,"PRANNOY H. S.",NA,19,2022,"Men","Singles",3,2,1,136,119,17,0.666666666666667,255,0.533333333333333
"195","Kunlavut VITIDSARN",NA,"Jonatan CHRISTIE",NA,20,2022,"Men","Singles",3,1,2,135,121,14,0.333333333333333,256,0.52734375
"196","Kenta NISHIMOTO",NA,"Jonatan CHRISTIE",NA,20,2022,"Men","Singles",3,2,1,135,127,8,0.666666666666667,262,0.515267175572519
"197","Lakshya SEN",NA,"Anthony Sinisuka GINTING",NA,22,2022,"Men","Singles",3,3,0,134,98,36,1,232,0.577586206896552
"198","Kodai NARAOKA",NA,"Shesar Hiren RHUSTAVITO",NA,22,2022,"Men","Singles",3,2,1,134,113,21,0.666666666666667,247,0.54251012145749
"199","LU Guangzu",NA,"LI Shifeng",NA,24,2022,"Men","Singles",3,3,0,132,99,33,1,231,0.571428571428571
"200","Viktor AXELSEN",NA,"CHOU Tien Chen",NA,25,2022,"Men","Singles",3,3,0,126,82,44,1,208,0.605769230769231
"201","Fajar ALFIAN","Muhammad Rian ARDIANTO","ONG Yew Sin","TEO Ee Yi",1,2022,"Men","Doubles",5,4,1,237,202,35,0.8,439,0.539863325740319
"202","Fajar ALFIAN","Muhammad Rian ARDIANTO","LIU Yuchen","OU Xuanyi",2,2022,"Men","Doubles",4,2,2,198,188,10,0.5,386,0.512953367875648
"203","Kim ASTRUP","Anders Skaarup RASMUSSEN","Takuro HOKI","Yugo KOBAYASHI",3,2022,"Men","Doubles",3,2,1,185,181,4,0.666666666666667,366,0.505464480874317
"204","CHOI SolGyu","KIM Won Ho","Kim ASTRUP","Anders Skaarup RASMUSSEN",4,2022,"Men","Doubles",3,3,0,170,167,3,1,337,0.504451038575668
"205","Fajar ALFIAN","Muhammad Rian ARDIANTO","GOH Sze Fei","Nur IZZUDDIN",5,2022,"Men","Doubles",4,4,0,169,130,39,1,299,0.565217391304348
"206","Mohammad AHSAN","Hendra SETIAWAN","M.R. ARJUN","DHRUV KAPILA",6,2022,"Men","Doubles",4,4,0,159,134,25,1,293,0.542662116040956
"207","Fajar ALFIAN","Muhammad Rian ARDIANTO","Aaron CHIA","SOH Wooi Yik",6,2022,"Men","Doubles",3,3,0,159,127,32,1,286,0.555944055944056
"208","Aaron CHIA","SOH Wooi Yik","Satwiksairaj RANKIREDDY","Chirag SHETTY",8,2022,"Men","Doubles",3,3,0,158,142,16,1,300,0.526666666666667
"209","Min Hyuk KANG","SEO Seung Jae","Mohammad AHSAN","Hendra SETIAWAN",9,2022,"Men","Doubles",3,2,1,154,148,6,0.666666666666667,302,0.509933774834437
"210","LIU Yuchen","OU Xuanyi","Mohammad AHSAN","Hendra SETIAWAN",10,2022,"Men","Doubles",3,3,0,148,120,28,1,268,0.552238805970149
"211","LIU Yuchen","OU Xuanyi","CHOI SolGyu","KIM Won Ho",11,2022,"Men","Doubles",3,3,0,146,130,16,1,276,0.528985507246377
"212","LU Ching Yao","YANG Po Han","Ben LANE","Sean VENDY",12,2022,"Men","Doubles",3,3,0,143,105,38,1,248,0.576612903225806
"213","Mohammad AHSAN","Hendra SETIAWAN","REN Xiangyu","TAN Qiang",12,2022,"Men","Doubles",3,2,1,143,142,1,0.666666666666667,285,0.501754385964912
"214","CHOI SolGyu","KIM Won Ho","ONG Yew Sin","TEO Ee Yi",14,2022,"Men","Doubles",3,2,1,139,131,8,0.666666666666667,270,0.514814814814815
"215","Mohammad AHSAN","Hendra SETIAWAN","Muhammad Shohibul FIKRI","Bagas MAULANA",15,2022,"Men","Doubles",3,2,1,134,129,5,0.666666666666667,263,0.509505703422053
"216","Kim ASTRUP","Anders Skaarup RASMUSSEN","LU Ching Yao","YANG Po Han",16,2022,"Men","Doubles",3,2,1,133,105,28,0.666666666666667,238,0.558823529411765
"217","Aaron CHIA","SOH Wooi Yik","Mohammad AHSAN","Hendra SETIAWAN",17,2022,"Men","Doubles",3,2,1,131,129,2,0.666666666666667,260,0.503846153846154
"218","Fajar ALFIAN","Muhammad Rian ARDIANTO","M.R. ARJUN","DHRUV KAPILA",18,2022,"Men","Doubles",3,3,0,129,101,28,1,230,0.560869565217391
"219","Fajar ALFIAN","Muhammad Rian ARDIANTO","Akira KOGA","Taichi SAITO",19,2022,"Men","Doubles",3,3,0,128,105,23,1,233,0.549356223175966
"220","LIU Yuchen","OU Xuanyi","Christo POPOV","Toma Junior POPOV",20,2022,"Men","Doubles",2,2,0,122,108,14,1,230,0.530434782608696
"221","Muhammad Shohibul FIKRI","Bagas MAULANA","GOH Sze Fei","Nur IZZUDDIN",21,2022,"Men","Doubles",2,2,0,121,113,8,1,234,0.517094017094017
"222","Fajar ALFIAN","Muhammad Rian ARDIANTO","HEE Yong Kai Terry","LOH Kean Hean",22,2022,"Men","Doubles",2,2,0,119,98,21,1,217,0.548387096774194
"223","LIU Yuchen","OU Xuanyi","ONG Yew Sin","TEO Ee Yi",23,2022,"Men","Doubles",3,2,1,118,112,6,0.666666666666667,230,0.51304347826087
"224","Ruben JILLE","Ties VAN DER LECQ","Christo POPOV","Toma Junior POPOV",24,2022,"Men","Doubles",2,2,0,117,110,7,1,227,0.515418502202643
"225","Takuro HOKI","Yugo KOBAYASHI","Muhammad Shohibul FIKRI","Bagas MAULANA",24,2022,"Men","Doubles",2,1,1,117,112,5,0.5,229,0.510917030567686
"226","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","WANG Yilyu","HUANG Dongping",1,2022,"Mixed","Doubles",5,5,0,249,204,45,1,453,0.549668874172185
"227","ZHENG Siwei","HUANG Yaqiong","Yuta WATANABE","Arisa HIGASHINO",2,2022,"Mixed","Doubles",4,3,1,205,165,40,0.75,370,0.554054054054054
"228","ZHENG Siwei","HUANG Yaqiong","WANG Yilyu","HUANG Dongping",3,2022,"Mixed","Doubles",4,3,1,179,147,32,0.75,326,0.549079754601227
"229","ZHENG Siwei","HUANG Yaqiong","Thom GICQUEL","Delphine DELRUE",4,2022,"Mixed","Doubles",4,4,0,174,120,54,1,294,0.591836734693878
"230","GOH Soon Huat","LAI Shevon Jemie","TAN Kian Meng","LAI Pei Jing",5,2022,"Mixed","Doubles",3,3,0,170,159,11,1,329,0.516717325227964
"231","Thom GICQUEL","Delphine DELRUE","Jones Ralfy JANSEN","Linda EFLER",6,2022,"Mixed","Doubles",3,3,0,164,137,27,1,301,0.54485049833887
"232","ZHENG Siwei","HUANG Yaqiong","Mathias CHRISTIANSEN","Alexandra BØJE",7,2022,"Mixed","Doubles",3,3,0,163,131,32,1,294,0.554421768707483
"233","ZHENG Siwei","HUANG Yaqiong","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI",8,2022,"Mixed","Doubles",3,3,0,162,131,31,1,293,0.552901023890785
"234","Rehan Naufal KUSHARJANTO","Lisa Ayu KUSUMAWATI","Thom GICQUEL","Delphine DELRUE",9,2022,"Mixed","Doubles",3,3,0,161,132,29,1,293,0.549488054607508
"235","Yuta WATANABE","Arisa HIGASHINO","GOH Soon Huat","LAI Shevon Jemie",10,2022,"Mixed","Doubles",4,3,1,158,128,30,0.75,286,0.552447552447552
"236","ZHENG Siwei","HUANG Yaqiong","Supak JOMKOH","Supissara PAEWSAMPRAN",11,2022,"Mixed","Doubles",3,3,0,145,98,47,1,243,0.596707818930041
"237","Supak JOMKOH","Supissara PAEWSAMPRAN","Zachariah Josiahno SUMANTI","Hediana JULIMARBELA",12,2022,"Mixed","Doubles",3,2,1,144,133,11,0.666666666666667,277,0.51985559566787
"238","Marcus ELLIS","Lauren SMITH","Rinov RIVALDY","Pitha Haningtyas MENTARI",13,2022,"Mixed","Doubles",3,3,0,142,125,17,1,267,0.531835205992509
"239","Mathias CHRISTIANSEN","Alexandra BØJE","TAN Kian Meng","LAI Pei Jing",14,2022,"Mixed","Doubles",3,1,2,132,129,3,0.333333333333333,261,0.505747126436782
"240","Mark LAMSFUSS","Isabel HERTTRICH","Rehan Naufal KUSHARJANTO","Lisa Ayu KUSUMAWATI",15,2022,"Mixed","Doubles",3,2,1,131,125,6,0.666666666666667,256,0.51171875
"241","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","Supak JOMKOH","Supissara PAEWSAMPRAN",15,2022,"Mixed","Doubles",3,3,0,131,97,34,1,228,0.574561403508772
"242","Mathias CHRISTIANSEN","Alexandra BØJE","HEE Yong Kai Terry","TAN Wei Han",17,2022,"Mixed","Doubles",3,3,0,127,99,28,1,226,0.561946902654867
"243","WANG Yilyu","HUANG Dongping","Rinov RIVALDY","Pitha Haningtyas MENTARI",18,2022,"Mixed","Doubles",3,3,0,126,85,41,1,211,0.597156398104265
"244","ZHENG Siwei","HUANG Yaqiong","TAN Kian Meng","LAI Pei Jing",18,2022,"Mixed","Doubles",3,3,0,126,73,53,1,199,0.633165829145729
"245","Rinov RIVALDY","Pitha Haningtyas MENTARI","Jones Ralfy JANSEN","Linda EFLER",20,2022,"Mixed","Doubles",2,2,0,121,100,21,1,221,0.547511312217195
"246","Thom GICQUEL","Delphine DELRUE","Mark LAMSFUSS","Isabel HERTTRICH",20,2022,"Mixed","Doubles",2,1,1,121,113,8,0.5,234,0.517094017094017
"247","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","GOH Soon Huat","LAI Shevon Jemie",23,2022,"Mixed","Doubles",2,1,1,118,108,10,0.5,226,0.52212389380531
"248","ZHENG Siwei","HUANG Yaqiong","YANG Po-Hsuan","HU Ling Fang",23,2022,"Mixed","Doubles",2,2,0,118,102,16,1,220,0.536363636363636
"249","Yuta WATANABE","Arisa HIGASHINO","Mathias CHRISTIANSEN","Alexandra BØJE",23,2022,"Mixed","Doubles",2,1,1,118,113,5,0.5,231,0.510822510822511
"250","Yuki KANEKO","Misaki MATSUTOMO","Robin TABELING","Selena PIEK",25,2022,"Mixed","Doubles",2,2,0,114,105,9,1,219,0.520547945205479
"251","Akane YAMAGUCHI",NA,"Se Young AN",NA,1,2021,"Women","Singles",6,4,2,281,274,7,0.666666666666667,555,0.506306306306306
"252","Akane YAMAGUCHI",NA,"Pornpawee CHOCHUWONG",NA,2,2021,"Women","Singles",4,3,1,210,207,3,0.75,417,0.503597122302158
