"","Player1","Player2","Opponent1","Opponent2","Rank","Year","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","win_pct","total_pts","shot_pct"
"424","Greysia POLII","Apriyani RAHAYU","HSU Ya Ching","HU Ling Fang",24,2020,"Women","Doubles",1,1,0,62,52,10,1,114,0.543859649122807
"425","Greysia POLII","Apriyani RAHAYU","Chloe BIRCH","Lauren SMITH",24,2020,"Women","Doubles",1,1,0,62,48,14,1,110,0.563636363636364
"426","Shesar Hiren RHUSTAVITO",NA,"KIDAMBI Srikanth",NA,1,2020,"Men","Singles",2,2,0,114,93,21,1,207,0.550724637681159
"427","Kenta NISHIMOTO",NA,"CHEAM June Wei",NA,2,2020,"Men","Singles",2,1,1,111,97,14,0.5,208,0.533653846153846
"428","Hans-Kristian Solberg VITTINGHUS",NA,"Lakshya SEN",NA,3,2020,"Men","Singles",2,2,0,110,98,12,1,208,0.528846153846154
"429","SHI Yuqi",NA,"NG Ka Long Angus",NA,4,2020,"Men","Singles",2,1,1,106,99,7,0.5,205,0.517073170731707
"430","LIEW Daren",NA,"PRANNOY H. S.",NA,5,2020,"Men","Singles",2,2,0,104,91,13,1,195,0.533333333333333
"431","CHOU Tien Chen",NA,"KIDAMBI Srikanth",NA,5,2020,"Men","Singles",2,2,0,104,73,31,1,177,0.587570621468927
"432","Vladimir MALKOV",NA,"Nhat NGUYEN",NA,7,2020,"Men","Singles",2,2,0,102,92,10,1,194,0.525773195876289
"433","Anders ANTONSEN",NA,"Rasmus GEMKE",NA,7,2020,"Men","Singles",2,2,0,102,75,27,1,177,0.576271186440678
"434","Kanta TSUNEYAMA",NA,"CHOU Tien Chen",NA,9,2020,"Men","Singles",2,1,1,100,95,5,0.5,195,0.512820512820513
"435","LEE Zii Jia",NA,"HEO Kwang Hee",NA,10,2020,"Men","Singles",2,1,1,98,80,18,0.5,178,0.550561797752809
"436","HUANG Yuxiang",NA,"Jan O JORGENSEN",NA,10,2020,"Men","Singles",2,2,0,98,92,6,1,190,0.515789473684211
"437","WANG Tzu Wei",NA,"Kenta NISHIMOTO",NA,12,2020,"Men","Singles",2,1,1,97,88,9,0.5,185,0.524324324324324
"438","SUN Feixiang",NA,"Brice LEVERDEZ",NA,12,2020,"Men","Singles",2,1,1,97,84,13,0.5,181,0.535911602209945
"439","Rasmus GEMKE",NA,"Max WEISSKIRCHEN",NA,14,2020,"Men","Singles",2,1,1,96,88,8,0.5,184,0.521739130434783
"440","Toma Junior POPOV",NA,"Thomas ROUXEL",NA,15,2020,"Men","Singles",2,1,1,93,84,9,0.5,177,0.525423728813559
"441","NG Ka Long Angus",NA,"Kenta NISHIMOTO",NA,16,2020,"Men","Singles",2,1,1,91,88,3,0.5,179,0.508379888268156
"442","LEE Zii Jia",NA,"Sameer VERMA",NA,17,2020,"Men","Singles",2,2,0,85,70,15,1,155,0.548387096774194
"443","Anders ANTONSEN",NA,"SON Wan Ho",NA,17,2020,"Men","Singles",2,2,0,85,61,24,1,146,0.582191780821918
"444","Anthony Sinisuka GINTING",NA,"HUANG Yuxiang",NA,19,2020,"Men","Singles",2,1,1,78,68,10,0.5,146,0.534246575342466
"445","Rasmus GEMKE",NA,"Kenta NISHIMOTO",NA,20,2020,"Men","Singles",2,1,1,75,73,2,0.5,148,0.506756756756757
"446","Jonathan DOLAN",NA,"Martin BUNDGAARD",NA,21,2020,"Men","Singles",1,1,0,67,63,4,1,130,0.515384615384615
"447","Anthony Sinisuka GINTING",NA,"HEO Kwang Hee",NA,22,2020,"Men","Singles",1,1,0,64,59,5,1,123,0.520325203252033
"448","Brice LEVERDEZ",NA,"Jonathan DOLAN",NA,24,2020,"Men","Singles",1,1,0,63,54,9,1,117,0.538461538461538
"449","LIN Yu Hsien",NA,"Sergey SIRANT",NA,24,2020,"Men","Singles",1,1,0,63,55,8,1,118,0.533898305084746
"450","Giovanni TOTI",NA,"Luka BAN",NA,24,2020,"Men","Singles",1,1,0,63,55,8,1,118,0.533898305084746
"451","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","Aaron CHIA","SOH Wooi Yik",1,2020,"Men","Doubles",4,4,0,169,136,33,1,305,0.554098360655738
"452","Akira KOGA","Taichi SAITO","HUANG Kaixiang","LIU Cheng",2,2020,"Men","Doubles",2,1,1,119,109,10,0.5,228,0.521929824561403
"453","LEE Yang","WANG Chi-Lin","Mohammad AHSAN","Hendra SETIAWAN",3,2020,"Men","Doubles",2,0,2,114,113,1,0,227,0.502202643171806
"454","Vladimir IVANOV","Ivan SOZONOV","Marcus ELLIS","Chris LANGRIDGE",4,2020,"Men","Doubles",2,1,1,110,109,1,0.5,219,0.502283105022831
"455","Jeppe BAY","Lasse MØLHEDE","Ruben JILLE","Ties VAN DER LECQ",5,2020,"Men","Doubles",2,2,0,105,97,8,1,202,0.51980198019802
"456","Kim ASTRUP","Anders Skaarup RASMUSSEN","KIM Gi Jung","LEE Yong Dae",6,2020,"Men","Doubles",2,2,0,99,81,18,1,180,0.55
"457","GOH V Shem","TAN Wee Kiong","LIAO Min Chun","SU Ching Heng",9,2020,"Men","Doubles",2,2,0,84,66,18,1,150,0.56
"458","Kim ASTRUP","Anders Skaarup RASMUSSEN","Jelle MAAS","Robin TABELING",9,2020,"Men","Doubles",2,2,0,84,56,28,1,140,0.6
"459","LEE Yang","WANG Chi-Lin","Vladimir IVANOV","Ivan SOZONOV",9,2020,"Men","Doubles",2,2,0,84,61,23,1,145,0.579310344827586
"460","KIM Gi Jung","LEE Yong Dae","LI Junhui","LIU Yuchen",9,2020,"Men","Doubles",2,2,0,84,61,23,1,145,0.579310344827586
"461","ONG Yew Sin","TEO Ee Yi","HAN Chengkai","ZHOU Haodong",9,2020,"Men","Doubles",2,2,0,84,66,18,1,150,0.56
"462","Fajar ALFIAN","Muhammad Rian ARDIANTO","Mathias BOE","Mads CONRAD-PETERSEN",9,2020,"Men","Doubles",2,2,0,84,67,17,1,151,0.556291390728477
"463","Mathias BOE","Mads CONRAD-PETERSEN","LEE Jhe-Huei","YANG Po-Hsuan",13,2020,"Men","Doubles",2,1,1,82,77,5,0.5,159,0.515723270440252
"464","Akira KOGA","Taichi SAITO","LIAO Min Chun","SU Ching Heng",14,2020,"Men","Doubles",1,1,0,68,57,11,1,125,0.544
"465","Sturla Flaten JORGENSEN","Carl Christian MORK","Oskari LARKIMO","Joakim OLDORFF",15,2020,"Men","Doubles",1,1,0,67,59,8,1,126,0.531746031746032
"466","Ruben JILLE","Ties VAN DER LECQ","Eloi ADAM","Julien MAIO",16,2020,"Men","Doubles",1,1,0,66,59,7,1,125,0.528
"467","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","Marcus ELLIS","Chris LANGRIDGE",16,2020,"Men","Doubles",1,1,0,66,57,9,1,123,0.536585365853659
"468","Rowan SCHEURKOGEL","Jona VAN NIEUWKERKE","Serdar KOCA","Serhat SALIM",18,2020,"Men","Doubles",1,1,0,65,58,7,1,123,0.528455284552846
"469","LI Junhui","LIU Yuchen","Mohammad AHSAN","Hendra SETIAWAN",18,2020,"Men","Doubles",1,1,0,65,63,2,1,128,0.5078125
"470","Leo Rolly CARNANDO","Daniel MARTHIN","Maneepong JONGJIT","Krit TANTIANANKUL",21,2020,"Men","Doubles",1,1,0,64,59,5,1,123,0.520325203252033
"471","Jones Ralfy JANSEN","Peter KAESBAUER","Muhammad Shohibul FIKRI","Bagas MAULANA",21,2020,"Men","Doubles",1,1,0,64,60,4,1,124,0.516129032258065
"472","Takuro HOKI","Yugo KOBAYASHI","CHOI SolGyu","SEO Seung Jae",21,2020,"Men","Doubles",1,1,0,64,62,2,1,126,0.507936507936508
"473","Zach RUSS","Steven STALLWOOD","Rasmus ESPERSEN","Emil HYBEL",24,2020,"Men","Doubles",1,1,0,63,57,6,1,120,0.525
"474","ONG Yew Sin","TEO Ee Yi","OU Xuanyi","ZHANG Nan",24,2020,"Men","Doubles",1,1,0,63,61,2,1,124,0.508064516129032
"475","Gianmarco BAILETTI","David SALUTT","Ariel SHAINSKI","Misha ZILBERMAN",24,2020,"Men","Doubles",1,1,0,63,52,11,1,115,0.547826086956522
"476","Robin TABELING","Selena PIEK","Mathias CHRISTIANSEN","Alexandra BØJE",1,2020,"Mixed","Doubles",3,2,1,131,121,10,0.666666666666667,252,0.51984126984127
"477","Mathias CHRISTIANSEN","Alexandra BØJE","Mark LAMSFUSS","Isabel HERTTRICH",2,2020,"Mixed","Doubles",2,1,1,112,108,4,0.5,220,0.509090909090909
"478","Mathias CHRISTIANSEN","Alexandra BØJE","Niclas NOHR","Amalie MAGELUND",3,2020,"Mixed","Doubles",2,2,0,107,85,22,1,192,0.557291666666667
"479","KO Sung Hyun","EOM Hye Won","YANG Po-Hsuan","HU Ling Fang",4,2020,"Mixed","Doubles",2,2,0,104,78,26,1,182,0.571428571428571
"480","ZHENG Siwei","HUANG Yaqiong","Pranaav Jerry CHOPRA","REDDY N. Sikki",5,2020,"Mixed","Doubles",2,2,0,95,71,24,1,166,0.572289156626506
"481","WANG Yilyu","HUANG Dongping","Ricky KARANDASUWARDI","Pia Zebadiah BERNADET",6,2020,"Mixed","Doubles",2,2,0,88,60,28,1,148,0.594594594594595
"482","Dechapol PUAVARANUKROH","Sapsiree TAERATTANACHAI","LEE Jhe-Huei","HSU Ya Ching",7,2020,"Mixed","Doubles",2,2,0,85,55,30,1,140,0.607142857142857
"483","Marcus ELLIS","Lauren SMITH","Rodion ALIMOV","Alina DAVLETOVA",9,2020,"Mixed","Doubles",2,2,0,84,53,31,1,137,0.613138686131387
"484","ZHENG Siwei","HUANG Yaqiong","Hafiz FAIZAL","Gloria Emanuelle WIDJAJA",9,2020,"Mixed","Doubles",2,2,0,84,52,32,1,136,0.617647058823529
"485","ZHENG Siwei","HUANG Yaqiong","WANG Yilyu","HUANG Dongping",9,2020,"Mixed","Doubles",2,2,0,84,49,35,1,133,0.631578947368421
"486","Kyohei YAMASHITA","Naru SHINOYA","Mathias CHRISTIANSEN","Alexandra BØJE",11,2020,"Mixed","Doubles",1,1,0,72,59,13,1,131,0.549618320610687
"487","Marcus ELLIS","Lauren SMITH","Gregory MAIRS","Victoria WILLIAMS",12,2020,"Mixed","Doubles",1,1,0,69,54,15,1,123,0.560975609756098
"488","Mathias BAY-SMIDT","Rikke SØBY","Vladimir IVANOV","Ekaterina BOLOTOVA",13,2020,"Mixed","Doubles",1,1,0,68,59,9,1,127,0.535433070866142
"489","Marcus ELLIS","Lauren SMITH","TANG Chun Man","TSE Ying Suet",14,2020,"Mixed","Doubles",1,1,0,67,57,10,1,124,0.540322580645161
"490","CHOI SolGyu","SHIN Seung Chan","WANG Chi-Lin","CHENG Chi Ya",15,2020,"Mixed","Doubles",1,1,0,65,47,18,1,112,0.580357142857143
"491","Marcus ELLIS","Lauren SMITH","GOH Soon Huat","LAI Shevon Jemie",16,2020,"Mixed","Doubles",1,1,0,64,62,2,1,126,0.507936507936508
"492","Gregory MAIRS","Victoria WILLIAMS","Eloi ADAM","Margot LAMBERT",16,2020,"Mixed","Doubles",1,1,0,64,61,3,1,125,0.512
"493","Philip BIRKER","Katharina HOCHMEIR","Alexander DUNN","Ciara TORRANCE",20,2020,"Mixed","Doubles",1,1,0,63,63,0,1,126,0.5
"494","Niclas NOHR","Amalie MAGELUND","Adam HALL","Julie MACPHERSON",20,2020,"Mixed","Doubles",1,1,0,63,53,10,1,116,0.543103448275862
"495","Hafiz FAIZAL","Gloria Emanuelle WIDJAJA","TAN Kian Meng","LAI Pei Jing",20,2020,"Mixed","Doubles",1,1,0,63,59,4,1,122,0.516393442622951
"496","Praveen JORDAN","Melati Daeva OKTAVIANTI","Marcus ELLIS","Lauren SMITH",20,2020,"Mixed","Doubles",1,1,0,63,49,14,1,112,0.5625
"497","Alexander DUNN","Ciara TORRANCE","Philip BIRKER","Katharina HOCHMEIR",20,2020,"Mixed","Doubles",1,0,1,63,63,0,0,126,0.5
"498","Adnan MAULANA","Mychelle Crhystine BANDASO","FENG Yanzhe","ZHANG Shuxian",24,2020,"Mixed","Doubles",1,1,0,62,54,8,1,116,0.53448275862069
"499","Thom GICQUEL","Delphine DELRUE","Mathias THYRRI","Mai SURROW",24,2020,"Mixed","Doubles",1,1,0,62,51,11,1,113,0.548672566371681
"500","Chris ADCOCK","Gabrielle ADCOCK","Takuro HOKI","Wakana NAGAHARA",24,2020,"Mixed","Doubles",1,1,0,62,57,5,1,119,0.521008403361345
"501","CHEN Yufei",NA,"Sayaka TAKAHASHI",NA,1,2019,"Women","Singles",5,5,0,242,163,79,1,405,0.597530864197531
"502","CHEN Yufei",NA,"Akane YAMAGUCHI",NA,2,2019,"Women","Singles",5,3,2,227,204,23,0.6,431,0.526682134570766
"503","TAI Tzu Ying",NA,"Nozomi OKUHARA",NA,3,2019,"Women","Singles",5,3,2,223,206,17,0.6,429,0.51981351981352
"504","Ratchanok INTANON",NA,"TAI Tzu Ying",NA,4,2019,"Women","Singles",5,2,3,222,210,12,0.4,432,0.513888888888889
"505","TAI Tzu Ying",NA,"Busanan ONGBAMRUNGPHAN",NA,5,2019,"Women","Singles",5,5,0,210,139,71,1,349,0.601719197707736
"506","TAI Tzu Ying",NA,"CHEN Yufei",NA,5,2019,"Women","Singles",5,3,2,210,208,2,0.6,418,0.502392344497608
"507","Ratchanok INTANON",NA,"CHEN Xiaoxin",NA,7,2019,"Women","Singles",5,4,1,207,172,35,0.8,379,0.546174142480211
"508","Nozomi OKUHARA",NA,"Ratchanok INTANON",NA,8,2019,"Women","Singles",5,3,2,203,196,7,0.6,399,0.508771929824561
"509","Ratchanok INTANON",NA,"Gregoria Mariska TUNJUNG",NA,9,2019,"Women","Singles",4,4,0,201,166,35,1,367,0.547683923705722
"510","Busanan ONGBAMRUNGPHAN",NA,"CAI Yanyan",NA,10,2019,"Women","Singles",4,4,0,200,158,42,1,358,0.558659217877095
"511","CHEN Yufei",NA,"Ratchanok INTANON",NA,11,2019,"Women","Singles",4,4,0,196,163,33,1,359,0.545961002785515
"512","Akane YAMAGUCHI",NA,"HE Bingjiao",NA,12,2019,"Women","Singles",4,4,0,191,140,51,1,331,0.577039274924471
"513","Ratchanok INTANON",NA,"Nitchaon JINDAPOL",NA,13,2019,"Women","Singles",4,4,0,186,132,54,1,318,0.584905660377358
"514","Akane YAMAGUCHI",NA,"TAI Tzu Ying",NA,14,2019,"Women","Singles",4,1,3,181,178,3,0.25,359,0.504178272980501
"515","Akane YAMAGUCHI",NA,"Pornpawee CHOCHUWONG",NA,15,2019,"Women","Singles",4,2,2,176,171,5,0.5,347,0.507204610951009
"516","HE Bingjiao",NA,"Nitchaon JINDAPOL",NA,16,2019,"Women","Singles",4,3,1,175,154,21,0.75,329,0.531914893617021
"517","TAI Tzu Ying",NA,"Gregoria Mariska TUNJUNG",NA,17,2019,"Women","Singles",4,4,0,172,141,31,1,313,0.549520766773163
"518","CHEN Yufei",NA,"SUNG Ji Hyun",NA,18,2019,"Women","Singles",4,4,0,168,127,41,1,295,0.569491525423729
"519","Ruselli HARTAWAN",NA,"CHIANG Ying Li",NA,19,2019,"Women","Singles",3,3,0,167,139,28,1,306,0.545751633986928
"520","Nozomi OKUHARA",NA,"HE Bingjiao",NA,20,2019,"Women","Singles",4,3,1,165,132,33,0.75,297,0.555555555555556
"521","LI Xuerui",NA,"Sayaka TAKAHASHI",NA,21,2019,"Women","Singles",4,3,1,163,148,15,0.75,311,0.52411575562701
"522","CHEN Yufei",NA,"Michelle LI",NA,21,2019,"Women","Singles",3,3,0,163,133,30,1,296,0.550675675675676
"523","HE Bingjiao",NA,"Fitriani FITRIANI",NA,23,2019,"Women","Singles",3,3,0,162,122,40,1,284,0.570422535211268
"524","Nozomi OKUHARA",NA,"Busanan ONGBAMRUNGPHAN",NA,23,2019,"Women","Singles",3,3,0,162,117,45,1,279,0.580645161290323
"525","Akane YAMAGUCHI",NA,"LI Xuerui",NA,25,2019,"Women","Singles",3,2,1,157,134,23,0.666666666666667,291,0.539518900343643
"526","Yuki FUKUSHIMA","Sayaka HIROTA","CHEN Qingchen","JIA Yifan",1,2019,"Women","Doubles",7,5,2,322,262,60,0.714285714285714,584,0.551369863013699
"527","KIM So Yeong","KONG Hee Yong","Mayu MATSUMOTO","Wakana NAGAHARA",2,2019,"Women","Doubles",6,4,2,280,268,12,0.666666666666667,548,0.510948905109489
"528","CHEN Qingchen","JIA Yifan","Mayu MATSUMOTO","Wakana NAGAHARA",3,2019,"Women","Doubles",5,4,1,249,220,29,0.8,469,0.53091684434968
"529","Yuki FUKUSHIMA","Sayaka HIROTA","DU Yue","LI Yinhui",4,2019,"Women","Doubles",5,4,1,239,196,43,0.8,435,0.549425287356322
"530","Mayu MATSUMOTO","Wakana NAGAHARA","Yuki FUKUSHIMA","Sayaka HIROTA",5,2019,"Women","Doubles",5,4,1,235,218,17,0.8,453,0.518763796909492
"531","LEE So Hee","SHIN Seung Chan","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI",6,2019,"Women","Doubles",5,5,0,231,162,69,1,393,0.587786259541985
"532","KIM So Yeong","KONG Hee Yong","CHEN Qingchen","JIA Yifan",7,2019,"Women","Doubles",5,3,2,230,221,9,0.6,451,0.509977827050998
"533","Misaki MATSUTOMO","Ayaka TAKAHASHI","KIM So Yeong","KONG Hee Yong",8,2019,"Women","Doubles",5,4,1,220,180,40,0.8,400,0.55
"534","Jongkolphan KITITHARAKUL","Rawinda PRAJONGJAI","CHOW Mei Kuan","LEE Meng Yean",9,2019,"Women","Doubles",4,3,1,218,193,25,0.75,411,0.530413625304136
"535","Yuki FUKUSHIMA","Sayaka HIROTA","Ekaterina BOLOTOVA","Alina DAVLETOVA",10,2019,"Women","Doubles",5,5,0,210,101,109,1,311,0.67524115755627
"536","Mayu MATSUMOTO","Wakana NAGAHARA","LI Wenmei","ZHENG Yu",11,2019,"Women","Doubles",4,4,0,209,185,24,1,394,0.530456852791878
"537","CHANG Ye Na","JUNG Kyung Eun","Yuki FUKUSHIMA","Sayaka HIROTA",12,2019,"Women","Doubles",4,2,2,206,196,10,0.5,402,0.512437810945274
"538","LI Wenmei","ZHENG Yu","LEE So Hee","SHIN Seung Chan",13,2019,"Women","Doubles",4,2,2,205,199,6,0.5,404,0.507425742574257
"539","LEE So Hee","SHIN Seung Chan","Mayu MATSUMOTO","Wakana NAGAHARA",13,2019,"Women","Doubles",4,3,1,205,181,24,0.75,386,0.531088082901554
"540","CHEN Qingchen","JIA Yifan","Greysia POLII","Apriyani RAHAYU",15,2019,"Women","Doubles",4,3,1,201,183,18,0.75,384,0.5234375
"541","KIM So Yeong","KONG Hee Yong","LI Wenmei","ZHENG Yu",16,2019,"Women","Doubles",4,3,1,194,182,12,0.75,376,0.515957446808511
"542","Misaki MATSUTOMO","Ayaka TAKAHASHI","Puttita SUPAJIRAKUL","Sapsiree TAERATTANACHAI",17,2019,"Women","Doubles",4,3,1,187,159,28,0.75,346,0.540462427745665
"543","Misaki MATSUTOMO","Ayaka TAKAHASHI","DU Yue","LI Yinhui",18,2019,"Women","Doubles",4,2,2,185,174,11,0.5,359,0.515320334261838
"544","Mayu MATSUMOTO","Wakana NAGAHARA","LIU Xuanxuan","XIA Yuting",19,2019,"Women","Doubles",4,4,0,184,142,42,1,326,0.56441717791411
"545","CHEN Qingchen","JIA Yifan","DU Yue","LI Yinhui",19,2019,"Women","Doubles",4,4,0,184,139,45,1,323,0.569659442724458
"546","Yuki FUKUSHIMA","Sayaka HIROTA","Ayako SAKURAMOTO","Yukiko TAKAHATA",21,2019,"Women","Doubles",4,4,0,180,130,50,1,310,0.580645161290323
"547","Misaki MATSUTOMO","Ayaka TAKAHASHI","Greysia POLII","Apriyani RAHAYU",22,2019,"Women","Doubles",3,2,1,178,172,6,0.666666666666667,350,0.508571428571429
"548","Greysia POLII","Apriyani RAHAYU","Ayako SAKURAMOTO","Yukiko TAKAHATA",23,2019,"Women","Doubles",4,3,1,175,156,19,0.75,331,0.528700906344411
"549","LEE So Hee","SHIN Seung Chan","KIM So Yeong","KONG Hee Yong",23,2019,"Women","Doubles",3,2,1,175,163,12,0.666666666666667,338,0.517751479289941
"550","Yuki FUKUSHIMA","Sayaka HIROTA","LEE So Hee","SHIN Seung Chan",25,2019,"Women","Doubles",4,3,1,170,152,18,0.75,322,0.527950310559006
"551","Kento MOMOTA",NA,"Anthony Sinisuka GINTING",NA,1,2019,"Men","Singles",7,6,1,347,309,38,0.857142857142857,656,0.528963414634146
"552","CHOU Tien Chen",NA,"Kenta NISHIMOTO",NA,2,2019,"Men","Singles",5,4,1,261,229,32,0.8,490,0.53265306122449
"553","Jonatan CHRISTIE",NA,"Anders ANTONSEN",NA,3,2019,"Men","Singles",6,4,2,248,231,17,0.666666666666667,479,0.517745302713987
"554","Jonatan CHRISTIE",NA,"Jan O JORGENSEN",NA,4,2019,"Men","Singles",5,5,0,230,163,67,1,393,0.585241730279898
"555","Viktor AXELSEN",NA,"CHEN Long",NA,5,2019,"Men","Singles",5,2,3,224,209,15,0.4,433,0.517321016166282
"556","Kento MOMOTA",NA,"Hans-Kristian Solberg VITTINGHUS",NA,6,2019,"Men","Singles",4,4,0,211,176,35,1,387,0.545219638242894
"557","NG Ka Long Angus",NA,"Anthony Sinisuka GINTING",NA,7,2019,"Men","Singles",4,3,1,209,198,11,0.75,407,0.513513513513513
"558","Kanta TSUNEYAMA",NA,"Sitthikom THAMMASIN",NA,8,2019,"Men","Singles",4,3,1,204,175,29,0.75,379,0.538258575197889
"559","Kento MOMOTA",NA,"Viktor AXELSEN",NA,9,2019,"Men","Singles",4,4,0,195,154,41,1,349,0.558739255014327
"560","Anthony Sinisuka GINTING",NA,"CHEN Long",NA,10,2019,"Men","Singles",5,3,2,194,165,29,0.6,359,0.540389972144847
"561","Viktor AXELSEN",NA,"Kanta TSUNEYAMA",NA,11,2019,"Men","Singles",4,3,1,188,151,37,0.75,339,0.554572271386431
"562","Kento MOMOTA",NA,"SAI PRANEETH B.",NA,11,2019,"Men","Singles",4,4,0,188,126,62,1,314,0.598726114649682
"563","Kento MOMOTA",NA,"WANG Tzu Wei",NA,13,2019,"Men","Singles",4,4,0,183,133,50,1,316,0.579113924050633
"564","Kantaphon WANGCHAROEN",NA,"HUANG Yuxiang",NA,14,2019,"Men","Singles",4,3,1,181,158,23,0.75,339,0.533923303834808
"565","LEE Zii Jia",NA,"CHEN Long",NA,15,2019,"Men","Singles",3,1,2,175,170,5,0.333333333333333,345,0.507246376811594
"566","CHOU Tien Chen",NA,"Kantaphon WANGCHAROEN",NA,16,2019,"Men","Singles",3,2,1,172,167,5,0.666666666666667,339,0.507374631268437
"567","Tommy SUGIARTO",NA,"LU Guangzu",NA,17,2019,"Men","Singles",4,1,3,169,165,4,0.25,334,0.505988023952096
"568","Anthony Sinisuka GINTING",NA,"CHOU Tien Chen",NA,17,2019,"Men","Singles",3,2,1,169,162,7,0.666666666666667,331,0.510574018126888
"569","Viktor AXELSEN",NA,"Jonatan CHRISTIE",NA,19,2019,"Men","Singles",3,1,2,164,156,8,0.333333333333333,320,0.5125
"570","CHOU Tien Chen",NA,"LIN Dan",NA,20,2019,"Men","Singles",3,2,1,163,131,32,0.666666666666667,294,0.554421768707483
"571","Kento MOMOTA",NA,"LEE Zii Jia",NA,22,2019,"Men","Singles",4,4,0,158,100,58,1,258,0.612403100775194
"572","Sourabh VERMA",NA,"SUN Feixiang",NA,22,2019,"Men","Singles",3,3,0,158,123,35,1,281,0.562277580071174
"573","Anthony Sinisuka GINTING",NA,"Kenta NISHIMOTO",NA,22,2019,"Men","Singles",3,2,1,158,136,22,0.666666666666667,294,0.537414965986395
"574","CHOU Tien Chen",NA,"Jonatan CHRISTIE",NA,24,2019,"Men","Singles",3,2,1,157,133,24,0.666666666666667,290,0.541379310344828
"575","Kento MOMOTA",NA,"Anders ANTONSEN",NA,25,2019,"Men","Singles",3,2,1,156,119,37,0.666666666666667,275,0.567272727272727
"576","Mohammad AHSAN","Hendra SETIAWAN","LEE Yang","WANG Chi-Lin",1,2019,"Men","Doubles",6,4,2,295,271,24,0.666666666666667,566,0.521201413427562
"577","Takeshi KAMURA","Keigo SONODA","Takuro HOKI","Yugo KOBAYASHI",2,2019,"Men","Doubles",6,4,2,287,272,15,0.666666666666667,559,0.513416815742397
"578","Takeshi KAMURA","Keigo SONODA","CHOI SolGyu","SEO Seung Jae",3,2019,"Men","Doubles",6,4,2,286,247,39,0.666666666666667,533,0.536585365853659
"579","Hiroyuki ENDO","Yuta WATANABE","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO",4,2019,"Men","Doubles",5,5,0,275,213,62,1,488,0.563524590163934
"580","Hiroyuki ENDO","Yuta WATANABE","LI Junhui","LIU Yuchen",5,2019,"Men","Doubles",6,3,3,253,251,2,0.5,504,0.501984126984127
"581","LI Junhui","LIU Yuchen","LU Ching Yao","YANG Po Han",6,2019,"Men","Doubles",5,4,1,247,232,15,0.8,479,0.515657620041754
"582","Mohammad AHSAN","Hendra SETIAWAN","Hiroyuki ENDO","Yuta WATANABE",7,2019,"Men","Doubles",5,5,0,243,207,36,1,450,0.54
"583","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","Fajar ALFIAN","Muhammad Rian ARDIANTO",8,2019,"Men","Doubles",5,3,2,241,215,26,0.6,456,0.528508771929825
"584","Mohammad AHSAN","Hendra SETIAWAN","LI Junhui","LIU Yuchen",9,2019,"Men","Doubles",5,4,1,236,192,44,0.8,428,0.551401869158878
"585","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","Takeshi KAMURA","Keigo SONODA",10,2019,"Men","Doubles",5,4,1,233,199,34,0.8,432,0.539351851851852
"586","Marcus Fernaldi GIDEON","Kevin Sanjaya SUKAMULJO","Mohammad AHSAN","Hendra SETIAWAN",11,2019,"Men","Doubles",5,5,0,229,183,46,1,412,0.555825242718447
"587","LI Junhui","LIU Yuchen","Aaron CHIA","SOH Wooi Yik",11,2019,"Men","Doubles",4,4,0,229,191,38,1,420,0.545238095238095
"588","Mohammad AHSAN","Hendra SETIAWAN","Aaron CHIA","SOH Wooi Yik",13,2019,"Men","Doubles",6,4,2,213,187,26,0.666666666666667,400,0.5325
"589","Takeshi KAMURA","Keigo SONODA","HE Jiting","TAN Qiang",14,2019,"Men","Doubles",4,4,0,207,159,48,1,366,0.565573770491803
"590","Takeshi KAMURA","Keigo SONODA","GOH V Shem","TAN Wee Kiong",15,2019,"Men","Doubles",4,4,0,206,176,30,1,382,0.539267015706806
"591","LEE Yang","WANG Chi-Lin","CHOI SolGyu","SEO Seung Jae",16,2019,"Men","Doubles",4,1,3,204,201,3,0.25,405,0.503703703703704
"592","Mohammad AHSAN","Hendra SETIAWAN","GOH V Shem","TAN Wee Kiong",17,2019,"Men","Doubles",4,3,1,203,183,20,0.75,386,0.525906735751295
"593","Hiroyuki ENDO","Yuta WATANABE","ONG Yew Sin","TEO Ee Yi",18,2019,"Men","Doubles",4,4,0,202,159,43,1,361,0.559556786703601
"594","Mohammad AHSAN","Hendra SETIAWAN","Takeshi KAMURA","Keigo SONODA",19,2019,"Men","Doubles",4,3,1,197,181,16,0.75,378,0.521164021164021
"595","Aaron CHIA","SOH Wooi Yik","Kim ASTRUP","Anders Skaarup RASMUSSEN",20,2019,"Men","Doubles",4,3,1,187,156,31,0.75,343,0.545189504373178
"596","GOH V Shem","TAN Wee Kiong","ONG Yew Sin","TEO Ee Yi",21,2019,"Men","Doubles",4,4,0,184,142,42,1,326,0.56441717791411
"597","Mohammad AHSAN","Hendra SETIAWAN","Mark LAMSFUSS","Marvin SEIDEL",21,2019,"Men","Doubles",4,4,0,184,148,36,1,332,0.55421686746988
