"","fighter_name","Weight","Reach","Stance","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg","birthyear","height_inches"
"1190","Kyler Phillips",135,72,"Orthodox",5.32,46,3.04,61,2.88,63,71,0.4,1995,68
"1191","Vinc Pichel",155,72,"Orthodox",3.2,46,2.28,56,3.83,60,20,0.3,1982,70
"1192","Jamie Pickett",185,80,"Orthodox",2.84,55,4.84,46,1.48,40,37,0.4,1988,74
"1193","Oskar Piechota",185,76,"Southpaw",3.3,52,3.93,51,0.61,40,38,1.5,1990,72
"1194","Mike Pierce",170,71,"Orthodox",2.62,42,2.36,62,3.08,42,71,0.2,1980,68
"1195","Brad Pickett",135,68,"Orthodox",3.02,31,4.63,55,2.47,44,58,0.4,1978,66
"1196","Sean Pierson",170,76,"Southpaw",3.84,39,3.73,64,0.39,18,66,0.4,1976,72
"1197","Domingo Pilarte",135,73,"Southpaw",2.04,50,3.69,42,2,42,75,1.3,1990,72
"1198","Daniel Pineda",145,69,"Orthodox",3.41,49,2.72,44,1.55,29,44,1.8,1985,67
"1199","Luana Pinheiro",115,62,"Orthodox",3.57,40,1.43,78,0,0,0,0,1992,62
"1200","Pingyuan Liu",135,72,"Orthodox",2.36,33,2.99,54,0.25,20,56,1,1993,66
"1201","Maki Pitolo",185,75,"Orthodox",4.2,44,3.71,56,2.42,52,55,0.5,1990,70
"1202","Jamal Pogues",205,77,"Orthodox",3.27,74,3.07,56,7,63,100,0,1995,75
"1203","Igor Pokrajac",205,74,"Orthodox",2.25,45,4.26,40,0.87,29,51,0.2,1979,72
"1204","Dustin Poirier",155,72,"Southpaw",5.59,50,4.17,54,1.47,36,61,1.3,1989,69
"1205","Santiago Ponzinibbio",170,73,"Orthodox",4.21,40,4.05,64,0.52,44,60,0,1986,72
"1206","Grigory Popov",135,68,"Switch",3.63,37,4.2,55,0,0,45,0,1984,67
"1207","Parker Porter",265,75,"Orthodox",7.69,49,7.36,52,1.65,60,0,1.1,1985,72
"1208","Callan Potter",170,72,"Orthodox",3.18,50,4.72,58,3.29,66,100,0,1984,72
"1209","Devin Powell",155,73,"Orthodox",2.88,41,3.67,51,0,0,0,0.6,1988,72
"1210","Ruan Potts",247,75,"Orthodox",0.85,37,5.92,22,0.75,16,33,2.3,1978,74
"1211","Marcin Prachnio",205,74,"Orthodox",5.4,47,3.71,58,0,0,0,0,1988,75
"1212","Ricardo Prasel",238,78,"Orthodox",2.21,57,7.83,37,0,0,0,0,1990,79
"1213","Wagner Prado",205,74,"Southpaw",1.72,40,3.06,50,0,0,22,0,1986,72
"1214","Trevor Prangley",185,75,"Orthodox",2.59,60,2.02,48,3.38,55,74,1,1972,73
"1215","Carlo Prater",155,72,"Switch",2.03,47,4.07,35,0.43,9,57,1.7,1981,71
"1216","Michel Prazeres",170,67,"Orthodox",2.44,47,2.49,58,4.11,36,50,0.6,1981,66
"1217","Kyle Prepolec",170,70,"Southpaw",3.2,34,4.7,54,0,0,40,0,1989,70
"1218","Niko Price",170,76,"Orthodox",5.33,41,5.83,49,0.89,22,72,0.9,1989,72
"1219","Lara Procopio",125,67,"Orthodox",6.7,57,6.93,47,3.5,50,0,0.5,1995,64
"1220","Jiri Prochazka",205,80,"Orthodox",5.67,45,7.05,55,0,0,100,0,1992,75
"1221","Joe Proctor",155,72,"Orthodox",3.39,36,3.93,59,0,0,70,1.8,1985,70
"1222","Cole Province",145,68,"Orthodox",1.47,44,2.72,43,2.4,50,83,1,1981,69
