"","player","level","gender","division","team_name","statistic","value"
"920","Nicole Sheerin-Weissenberg","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"921","Micah Fong","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"922","Lea Wang-Tomic","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"923","Kiryn Paine-Heise","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"924","Jamilah Toure","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"925","Jamieson Rear","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"926","Hayden King","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"927","Geoffrey Tucker Kalmus","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"928","Gaurav Prasad","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"929","Dhara Buebel","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"930","Claudia Dare","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"931","Campbell O'Neal","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"932","Benton Shevlin","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"933","Axel Hartzog","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"934","Zach Merrill","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"935","Patrick Connor","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"936","Amrik Eadara","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"937","Zoe Widner","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"938","Zach Wanger","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"939","Yariel Perkins","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"940","William Litchholt","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"941","William Hindman","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"942","Will Roper","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"943","Will Promecene","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"944","Will Cambron","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"945","Wesley Steele","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"946","Wen Chi Kwok","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"947","Vivian Kaufman","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"948","Vienna Lee","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"949","Uri Boaz","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"950","Tyler Feeney","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"951","Townsend Dierauf","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"952","Tomo Liou","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"953","TJ Lee","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"954","Tiernan Donnelly","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"955","Thomas Roberts","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"956","Thomas Plaxton","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"957","Thomas Loch","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"958","Thomas Harley","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"959","Teresa Cranston","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"960","Taylor Smith","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"961","Taylor Masterson","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"962","Sydney Anderson","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"963","Sumedh Anantha Krishna","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"964","Srikara Prithvi","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"965","Soren Callahan","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"966","Sophie Mullaney","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"967","Sophie Havranek","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"968","Sophie Acker","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"969","Sophia Nolan","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"970","Sofia Sinta","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"971","Sofia Eden","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"972","Sloan Senofsky","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"973","Sharan Sethi","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"974","Sebastian Boccieri","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"975","Sean Mickel","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"976","Sawyer Linehan","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"977","Sarah Laughlin","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"978","Sarah Landman","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"979","Samuel Williams","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"980","Sam Schwartz","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"981","Saira Sukthankar","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"982","Sadie Zweben","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"983","Sadie Cutler","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"984","Ryan Perry","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"985","Ryan Hsi","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"986","Ryan duSaire","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"987","Ruby Salisbury","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"988","Ruby Gates","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"989","Ruben Mendoza","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"990","Rose Burtt","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"991","Romy Holland","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"992","Rishi Rajesh Jeswani","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"993","Riley Knupp","Division 1","Women","Division 1 Women","Vermont Ruckus","Team Games",6
"994","Ria Mandal","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"995","Reese Rathur","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"996","Rebecca Lodespoto","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"997","Rebecca Flax","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"998","Ray Chen Hao","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"999","Rafael Castillo","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"1000","Quinn O'Connor","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"1001","Quinn Munson","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1002","Quinn Frank","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"1003","Piper Enderlein","Division 1","Women","Division 1 Women","Colorado Quandary","Team Games",7
"1004","Patrick Fontenot","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"1005","Parker Shahdad","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"1006","Paige Jenkins","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"1007","Owen Schigiel","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"1008","Owen Gin","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"1009","Olivia Mayfryer","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1010","Olivia Crump","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1011","Oliver Kahn","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"1012","Olive Loewer","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"1013","Nomi Zeidenberg","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"1014","Noah Pershing","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1015","Noah Kaller","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1016","Noah Bush","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"1017","Nicole Luparello","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1018","Nicole Carvalho","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"1019","Nicole Achen","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1020","Nick Canavan","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"1021","Nicholas Alfonso","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1022","Nghia Warren","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"1023","Nathaniel Scott-Avery","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"1024","Nathan Winiarski","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"1025","Nathan Parker","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1026","Nathan Kallin","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1027","Nate Ackerman","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1028","Miranda Baltaxe","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1029","Min Lim","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"1030","Miles Frank","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"1031","Micah Delattre","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"1032","Mia Andreeva","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1033","Megan Buchsbaum","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"1034","Meagan Gillis","Division 1","Women","Division 1 Women","British Columbia Thunderbirds","Team Games",6
"1035","Maximilian Dewberry","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"1036","Max Van Sickle","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"1037","Max Posner","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1038","Max Karnik","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1039","Max Cowie","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"1040","Matthew Xia","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"1041","Matilda Pro","Division 1","Women","Division 1 Women","Carleton Syzygy","Team Games",6
"1042","Matias Lee","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"1043","Martha Plaehn","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"1044","Mark Chow","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"1045","Makena Johnson","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"1046","Maggie Walsh","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"1047","Maeve Magura Comey","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1048","Madeline Fealy","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1049","Maddy Grassy","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1050","Lyle Hahn","Division 3","Men","Division 3 Men","Whitman Sweets","Team Games",6
"1051","Luke Surovec","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"1052","Luke Howey","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"1053","Luke Goeddeke","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1054","Luke Gochis","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"1055","Lucy Wylie","Division 1","Women","Division 1 Women","Georgia Athena","Team Games",5
"1056","Lucius Christie","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"1057","Lucas Henry","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"1058","Luca Stuccio","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"1059","Loren Griffin","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1060","Lily Terpstra","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1061","Lily Snyder","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1062","Lily Matthews-Needelman","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1063","Lillian Nelson","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1064","Lili Gudgel","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"1065","Liam Gilpin","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"1066","Liam Atkins","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1067","Leonardo Tapia","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"1068","Leo Cogan-Drew","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1069","Lemi Henderson","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"1070","Lauren Moore","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1071","Laura Brodkey","Division 1","Women","Division 1 Women","Pennsylvania Venus","Team Games",5
"1072","Kylee Sipkema","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"1073","Kyle Incollingo","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"1074","Kyla Christie","Division 3","Women","Division 3 Women","Carleton Eclipse","Team Games",6
"1075","Kofi Reeves-Miller","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"1076","kirah Clay","Division 3","Women","Division 3 Women","Davenport Panthers","Team Games",5
"1077","Kira Romberg","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"1078","Killian Reilly","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"1079","Kika Larrick","Division 1","Women","Division 1 Women","North Carolina Pleiades","Team Games",7
"1080","Kezha Neale-Sacks","Division 1","Women","Division 1 Women","California - San Diego D-Co","Team Games",5
"1081","Kenji Her","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"1082","Kemble Rains","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1083","Kelvin Lei","Division 1","Men","Division 1 Men","Penn State Spank","Team Games",5
"1084","Keller Fraley","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"1085","Keira Lanegraff","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"1086","Keagan Gustin","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"1087","Kayla Harrison","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles","Team Games",6
"1088","Kathryn Lawrence","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1089","Katelyn Osborne","Division 3","Women","Division 3 Women","Lewis & Clark Artemis","Team Games",5
"1090","Kate Philson","Division 1","Women","Division 1 Women","Colorado State Helle's Belles","Team Games",5
"1091","Karthik Subbiah","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"1092","Kallie Hansel-Tennes","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"1093","Kaia Emery","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1094","Kaeden Ireland","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"1095","Justine Martinez","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"1096","Julius Clyburn","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"1097","Julian Walston","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1098","Jovan Strange","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"1099","Joseph Thachet","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"1100","Jonathan Blake","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"1101","Jonah Feinstein","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"1102","Jonah Carrero","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"1103","Johnny Russell","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1104","John Rickel","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"1105","John Liaz","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"1106","John Drury","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"1107","Jillian Fischer","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1108","Jessie Lew","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"1109","Jeremy Kaufman","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1110","Jasper Priest","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1111","Jason Gutstadt","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"1112","Janey Hyde","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1113","James Texter","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1114","Jake Schmidt","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1115","Jake Magner","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1116","Jaine Paradis","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1117","Jae Lee","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"1118","Jacob Leichter Wilson","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1119","Jacob Green","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"1120","Jack Weinberg","Division 1","Men","Division 1 Men","Oregon State Beavers","Team Games",5
"1121","Jack Walters-Medaris","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"1122","Jack Waitz","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"1123","Jack Stephenson","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"1124","Jack Sheehan","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1125","Jack Hartingh","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"1126","Issandro Trenard","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows","Team Games",6
"1127","Isaac Degenholtz","Division 3","Men","Division 3 Men","Rochester Piggies","Team Games",6
"1128","Ilah Mittelstaedt","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1129","Ila Charendoff","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches","Team Games",6
"1130","Huy Nguyen","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"1131","Hugh Finnigan","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1132","Henry Nieckarz","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1133","Henry Geffert","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1134","Helena Hess","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"1135","Helen Sweeney","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1136","Hayden Naylor","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"1137","Gwen Murray","Division 1","Women","Division 1 Women","Western Washington Chaos","Team Games",5
"1138","Griffin Gee","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"1139","Griffin Campion","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1140","Grant Goodale","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
"1141","Gracie Bender","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1142","Grace Valentine","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1143","George Lefkowicz","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1144","Gavin May","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"1145","Garrett Bush","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore","Team Games",7
"1146","Gage Cowan","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"1147","Gabby Wang","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1148","Frederick Huang","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"1149","Fletcher Hayden","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"1150","Finn Sheehy","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"1151","Felix Feiger","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"1152","Feliks Ciesielski","Division 1","Men","Division 1 Men","NC State Alpha","Team Games",6
"1153","Evie Angevine","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"1154","Evan Ellis","Division 1","Men","Division 1 Men","Minnesota Grey Duck","Team Games",5
"1155","Ethan Burgess","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"1156","Eric Zhou","Division 3","Men","Division 3 Men","Williams WUFO","Team Games",6
"1157","Eno Little","Division 3","Men","Division 3 Men","Bates Orange Whip","Team Games",6
"1158","Ennio Ciambella","Division 1","Men","Division 1 Men","Ottawa Gee-Gees","Team Games",5
"1159","Emmet Payette","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1160","Emma Murray","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1161","Elspeth Howland","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"1162","Else Gerber","Division 3","Women","Division 3 Women","Macalester Purse Snatchers","Team Games",6
"1163","Elsa Hoff","Division 3","Women","Division 3 Women","Colorado College Zenith","Team Games",6
"1164","Elliot Ylagan","Division 1","Men","Division 1 Men","Texas TUFF","Team Games",5
"1165","Ella Lietzau","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1166","Ella Boodell","Division 3","Women","Division 3 Women","Wellesley Whiptails","Team Games",6
"1167","Elise Francis","Division 1","Women","Division 1 Women","Utah Spiral Jetty","Team Games",5
"1168","Eliot Duncan","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"1169","Elijah Danley","Division 1","Men","Division 1 Men","North Carolina Darkside","Team Games",6
"1170","Elias Gradinger","Division 3","Men","Division 3 Men","Claremont Braineaters","Team Games",6
"1171","Eliana Joftus","Division 3","Women","Division 3 Women","Occidental WAC","Team Games",6
"1172","Eli Donohue","Division 1","Women","Division 1 Women","Oregon Fugue","Team Games",6
"1173","Eli Beech-Brown","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"1174","Eleni Kauffman","Division 1","Women","Division 1 Women","Tufts EWO","Team Games",5
"1175","Elena Kamas","Division 1","Women","Division 1 Women","Stanford Superfly","Team Games",7
"1176","Eden Bogale","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1177","Ed Dowling","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1178","Drew Wentworth","Division 1","Men","Division 1 Men","Georgia Jojah","Team Games",5
"1179","Dexter Pakula","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1180","Devan Hernandez","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"1181","Declan Murphy","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur","Team Games",5
"1182","David Stamp","Division 3","Men","Division 3 Men","Franciscan Fatal","Team Games",6
"1183","David Bix","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1184","Daniel Williams","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"1185","Daniel Marlin","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1186","Daniel Kim","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"1187","Daniel Corbo","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus","Team Games",6
"1188","Daniel Brown","Division 3","Men","Division 3 Men","St Olaf Berzerkers","Team Games",6
"1189","Daniel Bauman","Division 1","Men","Division 1 Men","Colorado Mambird","Team Games",7
"1190","Courtney Lawson","Division 3","Women","Division 3 Women","Union Jillz","Team Games",6
"1191","Corey Sweet","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"1192","Copelan Brown","Division 3","Men","Division 3 Men","Berry Bucks","Team Games",6
"1193","Colman Bashore","Division 3","Men","Division 3 Men","Middlebury Pranksters","Team Games",5
"1194","Collin Colegate","Division 3","Men","Division 3 Men","Davenport Panthers","Team Games",6
"1195","Clay Haddock","Division 1","Men","Division 1 Men","Carleton CUT","Team Games",5
"1196","Clara Bass","Division 3","Women","Division 3 Women","Middlebury Pranksters","Team Games",5
"1197","Claire Mollen","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1198","Cianna Burr","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1199","Christopher O'Mara","Division 3","Men","Division 3 Men","Carleton CHOP","Team Games",6
"1200","Christopher Elvin","Division 3","Men","Division 3 Men","Richmond Spidermonkeys","Team Games",6
"1201","Christian Johnson","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"1202","Chris Youngblood","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares","Team Games",5
"1203","Charlotte Moynihan","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain","Team Games",6
"1204","Charlie Leightheiser","Division 1","Men","Division 1 Men","Massachusetts Zoodisc","Team Games",5
"1205","Charlie LaPorte","Division 3","Women","Division 3 Women","Portland UPRoar","Team Games",6
"1206","Charlie Huang","Division 1","Men","Division 1 Men","Michigan Magnum","Team Games",5
"1207","Charles Gluck","Division 1","Men","Division 1 Men","Washington University Contra","Team Games",5
"1208","Celia Flory","Division 1","Women","Division 1 Women","Michigan Flywheel","Team Games",5
"1209","Catrina Sada","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts","Team Games",5
"1210","Catherine Huang","Division 1","Women","Division 1 Women","Washington Element","Team Games",5
"1211","Carolina Weiss","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear","Team Games",5
"1212","Carmen Morris","Division 1","Women","Division 1 Women","California - Santa Cruz Sol","Team Games",5
"1213","Carly Smithmier","Division 3","Women","Division 3 Women","St Olaf Vortex","Team Games",5
"1214","Camilo Tamayo-Rousseau","Division 1","Men","Division 1 Men","Brown Brownian Motion","Team Games",8
"1215","Cameron White","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles","Team Games",5
"1216","Cameron Taleghani","Division 1","Men","Division 1 Men","Cal Ursa Major","Team Games",5
"1217","Callahan Phinney","Division 1","Men","Division 1 Men","Oregon EGO","Team Games",6
"1218","Calla Grafton-Freeze","Division 1","Women","Division 1 Women","Victoria Vikes","Team Games",5
"1219","Cale Ellingson","Division 1","Men","Division 1 Men","Vermont Chill","Team Games",5
