"","Date","Player1","Player2","Sets_P1","Sets_P2","P1_G1","P2_G1","P1_G2","P2_G2","P1_G3","P2_G3","P1_G4","P2_G4","P1_G5","P2_G5","HomeWinner"
"151",2022-06-10 14:25:00,"Nakliutskyi A.","Nikolenko S.",1,3,2,11,7,11,11,9,12,14,NA,NA,0
"152",2022-06-10 14:30:00,"Tsoi K.","Yurenev O.",3,2,11,13,12,10,9,11,11,7,11,5,1
"153",2022-06-10 14:30:00,"Zaporozhets R.","Maliuk S.",3,2,9,11,11,7,5,11,11,5,11,9,1
"154",2022-06-10 14:30:00,"Zydel J.","Luder J.",3,1,11,4,9,11,11,8,11,6,NA,NA,1
"155",2022-06-10 14:35:00,"Sklyarenko A.","Mishchenko V.",3,1,11,7,11,8,8,11,11,9,NA,NA,1
"156",2022-06-10 14:35:00,"Zholubak R.","Honchar Y.",3,2,9,11,9,11,11,7,11,4,12,10,1
"157",2022-06-10 14:45:00,"Zimcik L.","Pavelka J.",3,0,11,6,11,7,11,8,NA,NA,NA,NA,1
"158",2022-06-10 14:50:00,"Dubrovin V.","Semipeadnii V.",3,0,11,6,11,4,11,8,NA,NA,NA,NA,1
"159",2022-06-10 14:50:00,"Turek T.","Mikus D.",1,3,5,11,4,11,11,2,7,11,NA,NA,0
"160",2022-06-10 14:55:00,"Masko Y.","Melnik V.",0,3,5,11,7,11,10,12,NA,NA,NA,NA,0
"161",2022-06-10 15:00:00,"Barsa T.","Zydel J.",3,0,11,9,11,5,11,3,NA,NA,NA,NA,1
"162",2022-06-10 15:00:00,"Kunchurov D.","Ponomarenko O.",1,3,11,9,7,11,4,11,5,11,NA,NA,0
"163",2022-06-10 15:00:00,"Miroshnychenko S.","Hubenko M.",3,1,9,11,12,10,11,9,11,6,NA,NA,1
"164",2022-06-10 15:05:00,"Nadporozhskyi O.","Mrykh M.",2,3,17,19,12,10,13,15,11,7,8,11,0
"165",2022-06-10 15:05:00,"Tebenko Y.","Korobko V.",2,3,6,11,11,9,9,11,11,7,7,11,0
"166",2022-06-10 15:05:00,"Vilenchyts N.","Yurchenko K.",2,3,11,5,14,12,6,11,11,13,3,11,0
"167",2022-06-10 15:15:00,"Plyska O.","Zimcik L.",0,3,7,11,8,11,6,11,NA,NA,NA,NA,0
"168",2022-06-10 15:20:00,"Cechvala R.","Marko J.",3,0,11,7,13,11,12,10,NA,NA,NA,NA,1
"169",2022-06-10 15:20:00,"Shkepu S.","Lipkan D.",3,2,11,7,11,9,9,11,6,11,11,6,1
"170",2022-06-10 15:25:00,"Zemiantsev S.","Cherevko R.",1,3,11,13,11,9,9,11,8,11,NA,NA,0
"171",2022-06-10 15:30:00,"Huchok A.","Kolos Y.",3,0,11,5,11,5,11,6,NA,NA,NA,NA,1
"172",2022-06-10 15:30:00,"Lushchyk A.","Ziakun O.",3,2,5,11,15,13,11,6,10,12,11,5,1
"173",2022-06-10 15:30:00,"Zezule O.","Luder J.",3,2,9,11,5,11,11,3,12,10,11,3,1
"174",2022-06-10 15:35:00,"Bochkovskyi V.","Drobov D.",0,3,5,11,6,11,6,11,NA,NA,NA,NA,0
