Player,Team,Date,Position,Games Missed,Reported Injury Type,Downs Played After Concussion,Average Playtime Before Injury,Offense,Skilled
Will Tukuafu,San Francisco 49ers,16/12/2012,Defensive Tackle,0,Concussion,13,22.5,Defense,Non-Skilled
Darrell Stuckey,San Diego Chargers,24/11/2013,Safety,0,Concussion,19,21.2,Defense,Non-Skilled
Niles Paul,Washington Redskins,25/09/2014,Tight End,0,Concussion,48,62,Offense,Skilled
Christian Ponder,Minnesota Vikings,1/12/2013,Quarterback,4,Concussion,0,60.75,Offense,Skilled
Mike Brisiel,Oakland Raiders,14/10/2012,Guard,0,Concussion,85,65.5,Offense,Non-Skilled
Brian Cushing,Houston Texans,29/09/2013,Linebacker,0,Concussion,50,66,Defense,Non-Skilled
Johnny Patrick,San Diego Chargers,17/11/2013,Comerback,0,Concussion,43,51,Defense,Non-Skilled
Jay Cutler,Chicago Bears,11/11/2012,Quarterback,1,Concussion,73,63.5,Offense,Skilled
Mason Foster,Tampa Bay Buccaneers,17/11/2013,Linebacker,1,Concussion,60,56.33,Defense,Non-Skilled
Bill Bentley,Detroit Lions,22/12/2013,Comerback,1,Concussion,0,47.92,Defense,Non-Skilled
Jacquizz Rodgers,Atlanta Falcons,23/12/2013,Running Back,1,Concussion,0,40,Offense,Skilled
Joique Bell,Detroit Lions,28/09/2014,Running Back,2,Concussion,46,38,Offense,Skilled
Laurent Robinson,Jacksonville Jaguars,30/09/2012,Wide Receiver,3,Concussion,45,39,Offense,Skilled
Mike Mitchell,Oakland Raiders,2/12/2012,Safety,0,Concussion,49,32,Defense,Non-Skilled
Chris Williams,St. Louis Rams,24/11/2013,Guard,0,Concussion,72,62.6,Offense,Non-Skilled
Darrius Heyward-Bey,Oakland Raiders,23/09/2012,Wide Receiver,1,Concussion,50,56.5,Offense,Skilled
Ryan Griffin,Houston Texans,10/11/2013,Tight End,1,Concussion,33,28.5,Offense,Skilled
Dan Connolly,New England Patriots,12/10/2014,Guard,1,Concussion,71,72.8,Offense,Non-Skilled
Luke Stocker,Tampa Bay Buccaneers,16/12/2012,Tight End,0,Head,45,38.15,Offense,Skilled
Patrick Peterson,Arizona Cardinals,26/10/2014,Comerback,0,Concussion,68,66.33,Defense,Non-Skilled
T.J. Lang,Green Bay Packers,4/11/2013,Guard,0,Concussion,84,77,Offense,Non-Skilled
Fletcher Cox,Philadelphia Eagles,23/12/2012,Defensive Tackle,1,Concussion,0,41.57,Defense,Non-Skilled
George Selvie,Jacksonville Jaguars,2/12/2012,Defensive End,2,Concussion,30,33.17,Defense,Non-Skilled
Jason Hatcher,Dallas Cowboys,22/11/2012,Defensive Tackle,0,Concussion,54,46,Defense,Non-Skilled
Keith Tandy,Tampa Bay Buccaneers,20/10/2013,Safety,0,Concussion,43,18.2,Defense,Non-Skilled
Kamar Aiken,Baltimore Ravens,12/10/2014,Wide Receiver,0,Concussion,33,18.4,Offense,Skilled
Kevin Ogletree,Dallas Cowboys,18/11/2012,Wide Receiver,1,Concussion,21,34.56,Offense,Skilled
Jeff Cumberland,New York Jets,27/10/2013,Tight End,1,Concussion,51,44.71,Offense,Skilled
Clyde Gates,New York Jets,22/11/2012,Wide Receiver,2,Concussion,17,22.14,Offense,Skilled
Jordan Cameron,Cleveland Browns,16/12/2012,Tight End,2,Head,0,29.77,Offense,Skilled
Alex Smith,Cleveland Browns,16/09/2012,Tight End,3,Head,14,43,Offense,Skilled
Melvin White,Carolina Panthers,13/10/2013,Comerback,0,Concussion,58,28.5,Defense,Non-Skilled
Eddie Lacy,Green Bay Packers,4/09/2014,Running Back,0,Concussion,55,31,Offense,Skilled
Tony Scheffler,Detroit Lions,6/10/2013,Tight End,11,Concussion,0,16.25,Offense,Skilled
Kendall Wright,Tennessee Titans,15/09/2013,Wide Receiver,0,Concussion,45,19,Offense,Skilled
Chris Harris,Denver Broncos,6/10/2013,Comerback,0,Concussion,68,71,Defense,Non-Skilled
Asa Jackson,Baltimore Ravens,11/09/2014,Comerback,0,Concussion,71,57,Defense,Non-Skilled
Isa Abdul-Quddus,New Orleans Saints,25/11/2012,Safety,1,Concussion,86,45.7,Defense,Non-Skilled
Tyler Polumbus,Washington Redskins,16/12/2012,Offensive Tackle,1,Head,62,64.77,Offense,Non-Skilled
Kenny Vaccaro,New Orleans Saints,10/11/2013,Safety,1,Concussion,68,66.75,Defense,Non-Skilled
Phil Taylor,Cleveland Browns,22/12/2013,Offensive Tackle,1,Concussion,0,41.86,Offense,Non-Skilled
Vontaze Burfict,Cincinnati Bengals,14/09/2014,Linebacker,2,Concussion,80,23,Defense,Non-Skilled
Ryan Clark,Pittsburgh Steelers,28/10/2012,Safety,0,Concussion,58,63.4,Defense,Non-Skilled
Coty Sensabaugh,Tennessee Titans,6/10/2013,Comerback,0,Concussion,45,48,Defense,Non-Skilled
Brandon Boykin,Philadelphia Eagles,15/12/2013,Comerback,0,Concussion,53,58.849999999999994,Defense,Non-Skilled
Wallace Gilberry,Cincinnati Bengals,29/12/2013,Defensive End,0,Concussion,33,36.13,Defense,Non-Skilled
O'Brien Schofield,Seattle Seahawks,2/11/2014,Defensive End,0,Head,35,33.89,Defense,Non-Skilled
Daniel Thomas,Miami Dolphins,7/10/2012,Running Back,1,Concussion,49,36.33,Offense,Skilled
Jerel Worthy,Green Bay Packers,28/10/2012,Defensive End,1,Concussion,22,53.86,Defense,Non-Skilled
Uche Nwaneri,Jacksonville Jaguars,23/12/2012,Guard,1,Concussion,0,66.79,Offense,Non-Skilled
Benjamin Watson,New Orleans Saints,10/11/2013,Tight End,1,Concussion,27,40.63,Offense,Skilled
Devin McCourty,New England Patriots,22/12/2013,Safety,1,Concussion,78,84.07,Defense,Non-Skilled
Jordan Reed,Washington Redskins,17/11/2013,Tight End,6,Concussion,0,48.14,Offense,Skilled
Tiquan Underwood,Tampa Bay Buccaneers,18/11/2012,Wide Receiver,0,Head,29,25.86,Offense,Skilled
Terence Newman,Cincinnati Bengals,18/11/2012,Comerback,0,Head,63,62,Defense,Non-Skilled
Donnie Avery,Indianapolis Colts,18/11/2012,Wide Receiver,0,Head,71,66.44000000000001,Offense,Skilled
Roy Miller,Tampa Bay Buccaneers,2/12/2012,Defensive Tackle,1,Head,29,40.73,Defense,Non-Skilled
Sheldon Brown,Cleveland Browns,23/12/2012,Comerback,1,Head,0,61.21,Defense,Non-Skilled
George Iloka,Cincinnati Bengals,8/12/2013,Safety,0,Concussion,63,70,Defense,Non-Skilled
Jason Campbell,Cleveland Browns,24/11/2013,Quarterback,1,Concussion,74,51.25,Offense,Skilled
Robert Griffin III,Washington Redskins,7/10/2012,Quarterback,0,Head,58,71,Offense,Skilled
Torrey Smith,Baltimore Ravens,16/12/2012,Wide Receiver,0,Head,75,60.92,Offense,Skilled
Jay Ratliff,Chicago Bears,14/09/2014,Defensive Tackle,3,Concussion,41,55,Defense,Non-Skilled
Will Johnson,Pittsburgh Steelers,2/12/2012,Full Back,0,Concussion,20,34.27,Offense,Skilled
Jake Long,St. Louis Rams,1/12/2013,Offensive Tackle,0,Concussion,56,67,Offense,Non-Skilled
Jon Baldwin,Kansas City Chiefs,12/11/2012,Wide Receiver,1,Head,26,39,Offense,Skilled
Morris Claiborne,Dallas Cowboys,9/12/2012,Comerback,1,Concussion,93,58.5,Defense,Non-Skilled
Joe Reitz,Indianapolis Colts,30/12/2012,Guard,1,Concussion,0,58.63,Offense,Non-Skilled
