"","Rnk","GC","hours","minutes","seconds","BIB","Specialty","Rider","Age","Team","UCI","Pnt","Time","year","tot_seconds"
"1204",68,26,1,40,51,32,"GC","CHEREL Mikaël   AG2R La Mondiale",34,"AG2R La Mondiale",NA,NA,",,0:21",2020,6051
"1205",69,59,3,7,42,8,"Classic","VAN BAARLE Dylan   INEOS Grenadiers",28,"INEOS Grenadiers",NA,NA,",,0:21",2020,11262
"1206",70,81,3,53,9,106,"Classic","SKUJIŅŠ Toms   Trek - Segafredo",29,"Trek - Segafredo",NA,NA,",,0:21",2020,13989
"1207",71,60,3,13,41,142,"Climber","FRAILE Omar   Astana Pro Team",30,"Astana Pro Team",NA,NA,",,0:21",2020,11621
"1208",72,28,1,55,12,76,"GC","MARTÍNEZ Daniel Felipe   EF Pro Cycling",24,"EF Pro Cycling",NA,NA,",,0:21",2020,6912
"1209",73,18,1,8,26,218,"GC","ROLLAND Pierre   B&B Hotels - Vital Concept p/b KTM",33,"B&B Hotels - Vital Concept p/b KTM",NA,NA,",,0:21",2020,4106
"1210",74,47,2,39,54,143,"GC","HOULE Hugo   Astana Pro Team",29,"Astana Pro Team",NA,NA,",,0:21",2020,9594
"1211",75,110,4,47,23,67,"GC","POELS Wout   Bahrain - McLaren",32,"Bahrain - McLaren",NA,NA,",,0:21",2020,17243
"1212",76,99,4,34,3,166,"GC","JUUL-JENSEN Christopher   Mitchelton-Scott",31,"Mitchelton-Scott",NA,NA,",,0:21",2020,16443
"1213",77,29,1,59,54,51,"Climber","PINOT Thibaut   Groupama - FDJ",30,"Groupama - FDJ",NA,NA,",,0:21",2020,7194
"1214",78,56,3,3,9,77,"Classic","POWLESS Neilson   EF Pro Cycling",24,"EF Pro Cycling",NA,NA,",,0:21",2020,10989
"1215",79,42,2,30,35,15,"GC","GESINK Robert   Team Jumbo-Visma",34,"Team Jumbo-Visma",NA,NA,",,0:21",2020,9035
"1216",80,17,1,3,7,81,"GC","QUINTANA Nairo   Team Arkéa Samsic",30,"Team Arkéa Samsic",NA,NA,",,0:21",2020,3787
"1217",81,27,1,42,43,56,"Classic","MADOUAS Valentin   Groupama - FDJ",24,"Groupama - FDJ",NA,NA,",,0:21",2020,6163
"1218",82,121,5,9,32,193,"Classic","GIBBONS Ryan   NTT Pro Cycling",26,"NTT Pro Cycling",NA,NA,",,0:21",2020,18572
"1219",83,51,2,50,4,102,"GC","EG Niklas   Trek - Segafredo",25,"Trek - Segafredo",NA,NA,",,0:21",2020,10204
"1220",84,45,2,37,2,148,"GC","TEJADA Harold   Astana Pro Team",23,"Astana Pro Team",NA,NA,",,0:21",2020,9422
"1221",85,77,3,49,4,2,"GC","AMADOR Andrey   INEOS Grenadiers",34,"INEOS Grenadiers",NA,NA,",,0:21",2020,13744
"1222",86,129,5,17,50,6,"Classic","ROWE Luke   INEOS Grenadiers",30,"INEOS Grenadiers",NA,NA,",,0:21",2020,19070
"1223",87,126,5,13,11,202,"Hills","ARNDT Nikias   Team Sunweb",28,"Team Sunweb",NA,NA,",,0:21",2020,18791
"1224",88,90,4,20,41,46,"GC","DEVENYNS Dries   Deceuninck - Quick Step",37,"Deceuninck - Quick Step",NA,NA,"0:320:32",2020,15641
"1225",89,41,2,30,25,171,"Climber","MARTIN Dan   Israel Start-Up Nation",34,"Israel Start-Up Nation",NA,NA,"0:340:34",2020,9025
"1226",90,105,4,40,46,26,"Classic","OSS Daniel   BORA - hansgrohe",33,"BORA - hansgrohe",NA,NA,",,0:34",2020,16846
"1227",91,136,5,31,30,213,"GC","CHEVALIER Maxime   B&B Hotels - Vital Concept p/b KTM",21,"B&B Hotels - Vital Concept p/b KTM",NA,NA,"0:390:39",2020,19890
